szKind	nCount	nPoint	szAward		nKinMsg	nWorldMsg	szName	szDesc
PunishTask_1	100	10	Gold|20				行侠仗义	完成100次惩恶任务
PunishTask_1	300	20	Gold|30				除恶务尽	完成300次惩恶任务
PunishTask_1	1000	50	Gold|50;item|9639|1		1		侠名满江湖	完成1000次惩恶任务
PunishTask_Orange	1	10	Gold|20				江洋大盗·一	惩恶中作为队长击杀1名橙色头目
PunishTask_Orange	10	20	Gold|50				江洋大盗·二	惩恶中作为队长击杀10名橙色头目
PunishTask_Orange	50	50	Gold|100				江洋大盗·三	惩恶中作为队长击杀50名橙色头目
KinSecret_Win1	1	10	Gold|10				通关秘境·一	参与家族秘境并通关1个房间的秘境
KinSecret_Win2	1	20	Gold|30				通关秘境·二	参与家族秘境并通关2个房间的秘境
KinSecret_Win3	1	50	Gold|50				通关秘境·三	参与家族秘境并通关3个房间的秘境
KinSecret_BigBox	1	10	Gold|20				手速够快	家族秘境中打开闯关后的巨大宝箱
KinSecret_Order	1	50	Gold|50				令行禁止	通关一个房间且该房间3个关卡的boss均未吸魂完毕
KinSecret_Bad	1	10	Gold|20				糟了	家族秘境中独孤剑被张琳心复活
KinFuben_1	1	3	Gold|10				试炼开始	参与1次家族试炼
KinFuben_1	2	5	Gold|20				再次试炼	参与2次家族试炼
KinFuben_1	4	5	Gold|30				家族练兵	参与4次家族试炼
KinFuben_1	10	10	Gold|50				勤加演练	参与10次家族试炼
KinFuben_1	20	20	Gold|100;item|9640|1		1		百炼成钢	参与20次家族试炼
KinDefendFuben_1	1	3	Gold|10				保卫家族·一	参与1次家族保卫战
KinDefendFuben_1	2	5	Gold|20				保卫家族·二	参与2次家族保卫战
KinDefendFuben_1	4	5	Gold|30				保卫家族·三	参与4次家族保卫战
KinDefendFuben_1	10	10	Gold|50				保卫家族·四	参与10次家族保卫战
KinDefendFuben_1	20	20	Gold|100;item|11310|1		1		保卫家族·五	参与20次家族保卫战
KinDefendFuben_Easy	1	3	Gold|10				血战退敌·一	通过家族保卫战·简单
KinDefendFuben_Common	1	5	Gold|20				血战退敌·二	通过家族保卫战·普通
KinDefendFuben_Difficult	1	10	Gold|30				血战退敌·三	通过家族保卫战·困难
KinDefendFuben_Warrior	1	5	Gold|20				一马当先	作为勇士击败1次完颜宗翰的分身
RandomFuben_1	1	3	Gold|30				初入凌绝峰	通关凌绝峰1层
RandomFuben_2	1	3	Gold|30				机关重重	通关凌绝峰2层
RandomFuben_3	1	3	Gold|30				山腹中的秘密	通关凌绝峰3层
RandomFuben_4	1	3	Gold|30				登凌绝顶	通关凌绝峰4层
RandomFuben_5	1	3	Gold|30;item|9641|1		1		绝处逢生	通关凌绝峰5层
RandomFuben_NoDeath	1	20	Gold|50				一命通关	队员均不曾死亡就通关凌绝峰
RandomFuben_Fast	1	20	Gold|100				风驰电掣	耗时2分40秒内通关凌绝峰
RandomFubenCard_1	1	3	Gold|60				凌绝峰的秘密	收集了一张凌绝峰卡片
RandomFubenCard_2	1	5	Gold|60				凌绝峰秘藏	领取过凌绝峰卡片收集奖励
RandomFubenCard_3	1	5	Gold|60				江湖百晓生	凌绝峰卡片收集排名中获得前100名
RandomFubenCard_4	1	10	Gold|60				凌绝笑红尘	凌绝峰卡片收集排名中获得前30名
RandomFubenCard_5	1	20	Gold|60;item|9642|1		1		九天逍遥游	凌绝峰卡片收集排名中获得第1名
AdventureFuben_Anger1	1	3	Gold|10				怒气拉满	山贼秘窟中开启机关1次
AdventureFuben_Anger0	1	3	Gold|30				一路平推	山贼秘窟中队伍不开启机关成功闯关
XiuLian_1	1	3	Gold|10				修炼开始了	开启1次修炼状态
XiuLian_1	20	5	Gold|20				继续修炼	开启20次修炼状态
XiuLian_1	60	10	Gold|30				勤学苦练	开启60次修炼状态
XiuLian_1	200	20	Gold|50;item|9643|1		1		练级狂魔	开启200次修炼状态
XiuLian_2	1	3	Gold|10				一堆火	点燃一堆篝火
TeamFuben_1	1	3	Gold|5				组队秘境	通关一次组队秘境
TeamFuben_2	1	10	Gold|20;item|9644|1				风云乍起	藏剑山庄秘境「卓越」评价达成
TeamFuben_3	1	10	Gold|20;item|9645|1				武夷惊魂	武夷禁地秘境「卓越」评价达成
TeamFuben_4	1	10	Gold|20;item|9646|1				熔火之心	熔火霹雳秘境「卓越」评价达成
TeamFuben_5	1	10	Gold|20;item|9647|1				翠竹鬼森	翠竹幽谷秘境「卓越」评价达成
TeamFuben_6	1	10	Gold|20;item|9648|1				呼啸烈风	呼啸栈道秘境「卓越」评价达成
TeamFuben_7	1	10	Gold|20;item|9649|1				雪峰紫日	雪峰硝烟秘境「卓越」评价达成
ImperialTomb_Heshibi	1	5	Gold|10				始皇之赐·一	在秦始皇陵获得1个和氏璧
ImperialTomb_Heshibi	10	10	Gold|20				始皇之赐·二	在秦始皇陵获得10个和氏璧
ImperialTomb_Heshibi	50	20	Gold|50				始皇之赐·三	在秦始皇陵获得50个和氏璧
ImperialTomb_Heshibi	100	50	Gold|200;item|9650|1		1		始皇之赐·四	在秦始皇陵获得100个和氏璧
ImperialTomb_Hole_1	1	5	Gold|10				灵光一现	在秦始皇陵中进入密室1次
ImperialTomb_Hole_2	1	10	Gold|30				好运连连·一	在秦始皇陵中一天之内进入密室3次
ImperialTomb_Hole_3	1	15	Gold|50				好运连连·二	在秦始皇陵中一天之内进入密室5次
ImperialTomb_Hole_4	1	20	Gold|100				好运连连·三	在秦始皇陵中一天之内进入密室10次
ImperialTomb_Hole_5	1	40	Gold|200;item|9651|1		1		好运连连·四	在秦始皇陵中一天之内进入密室20次
Chat_Private	1	3	Gold|5				窃窃私语	与任意玩家进行一次密聊
Chat_Emotion	1	3	Gold|5				言辞并茂	在任意频道发送表情
Chat_Voice	1	3	Gold|5				余音绕梁	成功在任意频道发送语音信息
Chat_World	1	3	Gold|5				公开亮相	在世界频道发送公聊信息
Chat_Kin	1	3	Gold|5				家族发声	在家族频道发送公聊信息
Chat_School	1	3	Gold|5				你好同门	在门派频道发送公聊信息
Chat_Color	1	5	Gold|10				千里传音	发送彩聊信息
QuickTeamUp_Normal	1	3	Gold|5				快速组队	使用快速组队成功参与一次组队活动
PkExcercise_1	1	3	Gold|5				切磋一下	和其他玩家切磋一次
2-person_Horse	1	5	Gold|5				红尘作伴	与其他玩家完成1次双人同骑交互动作
2-person_Close	1	5	Gold|5				卿卿我我	与其他玩家完成1次亲密交互动作
2-person_Hug	1	5	Gold|5				拥你入怀	与其他玩家完成1次拥抱交互动作
2-person_HandInHand	1	5	Gold|5				执子之手	与其他玩家完成1次牵手交互动作
Give_Clothes	1	10	Gold|20				华服赠佳人	赠送1次外装
Give_Flower	1	3	Gold|5				礼尚往来·一	赠送1次玫瑰花/幸运草
Give_Flower	10	5	Gold|10				礼尚往来·二	累计送出10次玫瑰花/幸运草
Give_Flower	50	10	Gold|30				礼尚往来·三	累计送出50次玫瑰花/幸运草
Give_Flower	100	20	Gold|50				礼尚往来·四	累计送出100次玫瑰花/幸运草
Give_Flower	500	50	Gold|100				礼尚往来·五	累计送出500次玫瑰花/幸运草
Give_Flower	1000	100	Gold|200;item|9577|1;item|9652|1		1		礼尚往来·六	累计送出1000次玫瑰花/幸运草
Give_99Flower	1	5	Gold|20				厚礼相赠·一	赠送1次99朵玫瑰花/99棵幸运草
Give_99Flower	10	10	Gold|50				厚礼相赠·二	累计赠送10次99朵玫瑰花/99棵幸运草
Give_99Flower	50	50	Gold|100;item|9653|1		1		厚礼相赠·三	累计赠送50次99朵玫瑰花/99棵幸运草
Family_1	1	3	Gold|5				温馨港湾	第一次加入家族
Family_3	1	3	Gold|5				家族礼物·一	成功获取1个家族礼盒
Family_3	5	5	Gold|5				家族礼物·二	成功获取5个家族礼盒
Family_3	50	10	Gold|30				家族礼物·三	成功获取50个家族礼盒
Family_3	250	20	Gold|50				家族礼物·四	成功获取250个家族礼盒
Family_3	1000	50	Gold|100;item|9654|1				家族礼物·五	成功获取1000个家族礼盒
FamilyContribute_1	1	3	Gold|10				我要捐钱	完成1次家族捐献
FamilyContribute_1	10	5	Gold|20				继续捐献	完成10次家族捐献
FamilyContribute_1	50	10	Gold|30				功勋成员	完成50次家族捐献
FamilyContribute_1	200	20	Gold|50				捐献不能停	完成200次家族捐献
FamilyContribute_1	1000	50	Gold|100;item|9655|1		1		千金散尽还复来	完成1000次家族捐献
FamilyContribute_1	10000	100	Gold|500;item|4250|1		1		富可敌国	完成10000次家族捐献
PayOff_1	1	3	Gold|10				发工资了	领取1次家族工资
PayOff_1	100	5	Gold|20				又有钱领	累计领取的家族工资超过100元宝
PayOff_1	1000	10	Gold|30				多劳多得·一	累计领取的家族工资超过1000元宝
PayOff_1	3000	20	Gold|50				多劳多得·二	累计领取的家族工资超过3000元宝
PayOff_1	10000	50	Gold|100				多劳多得·三	累计领取的家族工资超过10000元宝
Family_Share	1	3	Gold|5				大秤分金·一	领取1次分红
Family_Share	1000	5	Gold|10				大秤分金·二	累计领取的分红超过1000元宝
Family_Share	3000	10	Gold|20				大秤分金·三	累计领取的分红超过3000元宝
Family_Share	10000	20	Gold|30				大秤分金·四	累计领取的分红超过10000元宝
Family_Share	50000	50	Gold|50				大秤分金·五	累计领取的分红超过50000元宝
Family_Share	100000	100	Gold|100		1		大秤分金·六	累计领取的分红超过100000元宝
RedBag_1	1	3	Gold|10				红包红包	第一次发红包
DoubleRedBag_1	1	10	Gold|50				大红包	第一次发双倍红包
LuckDog	1	10	Gold|20				运气极好	抢红包时手气最好
UnforunateMan	1	10	Gold|20				运气极差	抢红包时只抢到1元宝
GetMeFight_1	1	3	Gold|10				来传功吧	给其他玩家传功或被传功1次
GetMeFight_1	3	5	Gold|10				继续传功	给其他玩家传功或被传功3次
GetMeFight_1	10	10	Gold|20				乐于助人	给其他玩家传功或被传功10次
GetMeFight_1	30	15	Gold|30;item|9656|1				助人为乐	给其他玩家传功或被传功30次
GetMeFight_1	100	20	Gold|50;item|9657|1		1		助人者人助之	给其他玩家传功或被传功100次
Family_5	1	3	Gold|20				家族烤火	参与1次家族烤火活动
Drink	1	5	Gold|10				这轮我请·一	累计在家族烤火中请大家喝1次酒
Drink	10	10	Gold|30				这轮我请·二	累计在家族烤火中请大家喝10次酒
Drink	50	20	Gold|50				这轮我请·三	累计在家族烤火中请大家喝50次酒
Drink	100	50	Gold|100;item|9658|1		1		这轮我请·四	累计在家族烤火中请大家喝100次酒
Family_4	1	3	Gold|10				装备打造	在家族作坊打造1次装备
CommerceTask_Help	1	3	Gold|5				互相帮助	协助1次家族成员完成商会任务
CommerceTask_Help	10	5	Gold|10				协助达人·一	协助10次家族成员完成商会任务
CommerceTask_Help	50	10	Gold|30				协助达人·二	协助50次家族成员完成商会任务
CommerceTask_Help	100	20	Gold|50				协助达人·三	协助100次家族成员完成商会任务
CommerceTask_Help	500	50	Gold|100;item|9659|1		1		协助达人·四	协助500次家族成员完成商会任务
Sworn_1	1	10	Gold|20				义结金兰	成功完成一次结拜
Sworn_2	1	20	Gold|100				交情过命	与结拜成员的亲密度均达到30级
Friends_1	1	3	Gold|10				呼朋唤友	拥有20个好友
Friends_2	1	10	Gold|20				高朋满座	拥有50个好友
Friends_3	1	20	Gold|50				四海之内皆兄弟	拥有100个好友
Friend_1	1	3	Gold|10				泛泛之交	与1个好友的亲密度达到5级
Friend_2	1	5	Gold|30				情义之交	与1个好友的亲密度达到10级
Friend_3	1	10	Gold|50				肝胆之交	与1个好友的亲密度达到20级
Friend_4	1	20	Gold|100				莫逆之交	与1个好友的亲密度达到30级
Friend_5	1	30	Gold|300				生死之交	与1个好友的亲密度达到40级
FriendFamiliar_1	3	5	Gold|30				清交素友	与3个好友的亲密度达到5级
FriendFamiliar_2	3	10	Gold|50				情深意重	与3个好友的亲密度达到10级
FriendFamiliar_3	3	20	Gold|100				肝胆相照	与3个好友的亲密度达到20级
FriendFamiliar_4	3	30	Gold|300				相交莫逆	与3个好友的亲密度达到30级
FriendFamiliar_5	3	50	Gold|500;item|9660|1		1		情同生死	与3个好友的亲密度达到40级
TeacherStudentElite_1	1	10	Gold|30				教导有方	有1个杰出弟子出师
TeacherStudentMaster_1	2	10	Gold|20				良师益友	有2个弟子出师
TeacherStudentMaster_1	5	20	Gold|50				诲人不倦	有5个弟子出师
TeacherStudentMaster_1	10	30	Gold|100;item|9661|1		1		为人师表	有10个弟子出师
TeacherStudentMaster_1	20	40	Gold|300;item|9662|1		1		桃李满天下	有20个弟子出师
TeacherStudentMaster_1	30	50	Gold|500;item|9663|1		1		一代宗师	有30个弟子出师
TeacherStudentMaster_1	50	60	Gold|500				开宗立派	有50个弟子出师
TeacherStudent_Horse	1	20	Gold|100				赠君宝马	徒弟出师时赠送徒弟乌云踏雪
TeacherStudent_Equip	1	10	Gold|20				望君变强	徒弟出师时赠送装备
TeacherStudent_Clothes	1	10	Gold|20				助君变靓	徒弟出师时赠送外装
TeacherStudent_Token	1	10	Gold|20				祝君高升	徒弟出师时赠送令牌
TeacherStudent_Excellent	1	10	Gold|30				出类拔萃	作为徒弟完美出师
TeacherStudent_Task	1	5	Gold|5				完美达成·一	完美完成师父布置的任务1次
TeacherStudent_Task	10	10	Gold|20				完美达成·二	完美完成师父布置的任务10次
TeacherStudent_Task	30	20	Gold|30				完美达成·三	完美完成师父布置的任务30次
TeacherStudent_Task	50	50	Gold|50;item|9664|1		1		完美达成·四	完美完成师父布置的任务50次
Engage_1	1	20	Gold|30				牵手成功	成功与一名异性订婚
Marry_1	1	50	Gold|100				缘定三生	与订婚对象举行一次婚礼
Marry_Qinggong	1	10	Gold|50				比翼双飞	在临安城完成一次双人大轻功
WeddingAnniversary_1	1	10	Gold|50				纸婚	与伴侣度过成婚1个月纪念日并领取纪念日奖励
WeddingAnniversary_2	1	50	Gold|100		1		银婚	与伴侣度过成婚6个月纪念日并领取纪念日奖励
WeddingAnniversary_3	1	100	Gold|500;item|9665|1		1	1	金婚	与伴侣度过成婚1周年纪念日并领取纪念日奖励
Revenge_1	1	3	Gold|5				我要报仇	成功进行1次复仇
Revenge_2	10000	10	Gold|30				有仇必报·一	通过复仇抢到10000银两
Revenge_2	100000	20	Gold|50				有仇必报·二	通过复仇抢到100000银两
Prison_1	1	3	Gold|50				睚眦必报	第1次通缉其他玩家
Wanted_Complete	1	5	Gold|10				虽远必诛·一	完成追影令1次
Wanted_Complete	10	10	Gold|30				虽远必诛·二	完成追影令10次
Wanted_Complete	50	30	Gold|50		1		虽远必诛·三	完成追影令50次
Wanted_Complete	100	50	Gold|100;item|9542|1;item|9666|1		1	1	虽远必诛·四	完成追影令100次
HouseLevel_1	1	3	Gold|60				我有家了	拥有1个自己的家园
HouseLevel_2	3	5	Gold|70				大兴土木	家园等级达到3级
HouseLevel_2	4	10	Gold|70		1		雕梁绣户	家园等级达到4级
HouseLevel_2	5	20	Gold|90		1		金碧辉煌	家园等级达到5级
HouseLevel_2	6	30	Gold|100;item|9667|1		1		神工天巧	家园等级达到6级
HouseComfort_1	5	5	Gold|60				宜家宜室	家园舒适度达到5级
HouseComfort_1	10	10	Gold|70				闲庭雅居	家园舒适度达到10级
HouseComfort_1	15	20	Gold|70		1		福祉盈门	家园舒适度达到15级
HouseComfort_1	20	30	Gold|90		1		紫气东来	家园舒适度达到20级
HouseComfort_1	25	50	Gold|100;item|9668|1		1		名门望庭	家园舒适度达到25级
House_Hide	1	10	Gold|10				你看不见我	躲到其他玩家家园柜子里面
House_Sleep	1	10	Gold|10				睡你…的床	在其他玩家家园的床上睡觉
House_Wash	1	10	Gold|10				洗白白	在其他玩家家园的浴盆里洗澡
House_SleepTogether	1	10	Gold|10				大被同眠	与其他玩家同在一张床上睡觉
House_Swing	1	10	Gold|10				梦回童年	与其他玩家一起荡秋千
House_Plant	1	3	Gold|20				十年树木	在家园种植一棵树
House_TreeMature	1	5	Gold|10				收获日	家园树木成熟收成1次
House_TreeMature	5	10	Gold|20				勤勤恳恳·一	家园树木成熟收成5次
House_TreeMature	20	20	Gold|30				勤勤恳恳·二	家园树木成熟收成20次
House_TreeMature	50	50	Gold|50				勤勤恳恳·三	家园树木成熟收成50次
House_TreeMature	100	80	Gold|100;item|9669|1		1		勤勤恳恳·四	家园树木成熟收成100次
House_TreeHelp	1	3	Gold|20				救救树吧	成功为好友协助养护1次
House_TreeHelp_Day	1	10	Gold|20				完美园丁	一天内成功为好友协助养护10次
House_TreeHelp	50	10	Gold|20				辛勤园丁·一	累计为好友协助养护50次
House_TreeHelp	200	20	Gold|30				辛勤园丁·二	累计为好友协助养护200次
House_TreeHelp	500	30	Gold|50				辛勤园丁·三	累计为好友协助养护500次
House_TreeHelp	1000	50	Gold|100;item|9670|1		1		辛勤园丁·四	累计为好友协助养护1000次
Meditate_Empty	1	20	Gold|100				四大皆空	打坐冥想结果为皆空
Bless_1	4	10	Gold|30				天赐洪福	祈福出现4条以上吉属性
Bless_2	5	20	Gold|50				聚宝神器	聚宝盆上洗满5条属性
IDIPZan_1	10	5	Gold|10				比心心	给其他玩家的个人空间点赞达到10次
IDIPPopularity_1	50	10	Gold|20				小有名气	个人空间人气值达到50
IDIPPopularity_1	500	20	Gold|30				崭露头角	个人空间人气值达到500
IDIPPopularity_1	1000	50	Gold|50				人气选手	个人空间人气值达到1000
WhiteTiger_1	1	3	Gold|10				初探白虎堂	进入白虎堂第一层
WhiteTiger_2	1	5	Gold|10				首开杀戒	在白虎堂中击杀1个其他玩家
WhiteTiger_3	1	5	Gold|20				通关白虎堂·一	通过白虎堂第四层
WhiteTiger_4	1	10	Gold|30				通关白虎堂·二	通过白虎堂第五层
WhiteTiger_2	100	20	Gold|50				杀人如麻	在白虎堂中击杀100个其他玩家
WhiteTiger_2	500	50	Gold|100;item|9671|1		1		白虎堂狩猎者	在白虎堂中击杀500个其他玩家
DomainBattle_1	10	5	Gold|10				豪杰	在攻城战中击败10名敌对玩家
DomainBattle_1	50	10	Gold|30				追命	在攻城战中击败50名敌对玩家
DomainBattle_1	200	20	Gold|50;item|9672|1				无情	在攻城战中击败200名敌对玩家
DomainBattle_1	500	50	Gold|100;item|9673|1				罗刹	在攻城战中击败500名敌对玩家
DomainBattle_1	1000	100	Gold|300;item|9674|1		1		战神	在攻城战中击败1000名敌对玩家
DomainBattleCombo_1	1	10	Gold|20				骁勇善战	在攻城战中获得10连斩
DomainBattleCombo_2	1	20	Gold|30				能征惯战	在攻城战中获得20连斩
DomainBattleCombo_3	1	50	Gold|50				所向披靡	在攻城战中获得50连斩
DomainBattleCombo_4	1	100	Gold|100;item|9675|1		1		定国柱石	在攻城战中获得100连斩
DomainBattle_Car	1	10	Gold|20				推塔游戏	在攻城战中驾驶1次攻城车
DomainBattle_CrossbowCar	1	10	Gold|20				诸葛连弩	在攻城战中驾驶1次劲弩车
DomainBattle_GunCar	1	10	Gold|20				意大利炮	在攻城战中驾驶1次铁炮车
DomainBattle_Xiangyang	1	15	Gold|100				我们的襄阳	参与攻城战并且所在家族占领襄阳
DomainBattle_Linan	1	20	Gold|300				我们的临安	参与跨服攻城战且所在家族占领临安
DomainBattle_XiangyangP	1	50	Gold|300				襄阳霸主	帮助所在家族连续一个月占领襄阳城
LingtuzhanCombo_1	1	10	Gold|20				兵锋所指	在领土战中获得10连斩
LingtuzhanCombo_2	1	20	Gold|30				振我军威	在领土战中获得20连斩
LingtuzhanCombo_3	1	50	Gold|50				勇冠三军	在领土战中获得50连斩
LingtuzhanCombo_4	1	100	Gold|100;item|11311|1		1		百战军神	在领土战中获得100连斩
Lingtuzhan_Point_1	1	20	Gold|30				颇有谋略	在领土战中获得本家族积分第一名1次
Lingtuzhan_Point_1	10	30	Gold|50				足智多谋	在领土战中获得本家族积分第一名10次
Lingtuzhan_Point_1	20	50	Gold|75				智计百出	在领土战中获得本家族积分第一名20次
Lingtuzhan_Point_1	50	100	Gold|100		1		绝代智将	在领土战中获得本家族积分第一名50次
Lingtuzhan_Village1	1	5	Gold|10				避其锋芒	参加领土战且所在家族成功占领1次野外/乡村
Lingtuzhan_Village3	1	10	Gold|20				农村包围城市	参加领土战且所在家族同时占领3个相连的野外/乡村
Lingtuzhan_Town	1	10	Gold|20				稳扎稳打	参加领土战且所在家族成功占领1次县镇
Lingtuzhan_City	1	20	Gold|30				武装夺取政权	参加领土战且所在家族成功占领1次城市
Lingtuzhan_SeasonTop1	1	100	Gold|100				天下霸主	领土战赛季结算所在家族排名本战区第1名
Lingtuzhan_SeasonTop5	1	50	Gold|75				一方诸侯	领土战赛季结算所在家族排名本战区前5名
KinEscort_1	1	3	Gold|10				行走江湖	成功参与1次家族运镖
KinEscort_2	1	5	Gold|10				剪径强人	在家族运镖中成功抢到1个“掉落的货物”
KinEscort_2	5	10	Gold|30				绿林强盗	在家族运镖中成功抢到5个“掉落的货物”
KinEscort_2	50	20	Gold|50				占山为王	在家族运镖中成功抢到50个“掉落的货物”
KinEscort_3	1	10	Gold|20				价值连城	将一辆紫色以上的镖车完整的护送到目的地
KinEscort_4	30	20	Gold|30				镖镖必达	成功将30辆镖车护送到目的地
KinEscort_4	100	50	Gold|100;item|9676|1		1		镖行天下	成功将100辆镖车护送到目的地
ImperialTombEmperor_1	1	3	Gold|10				鬼帝降世	成功参与一次始皇降临/女帝复苏
ImperialTombEmperor_2	1	10	Gold|10				弑君者·一	家族成功击杀1次秦始皇/武则天
ImperialTombEmperor_2	5	20	Gold|20				弑君者·二	家族成功击杀5次秦始皇/武则天
ImperialTombEmperor_2	20	30	Gold|30;item|9677|1				弑君者·三	家族成功击杀20次秦始皇/武则天
ImperialTombEmperor_2	100	50	Gold|100;item|9678|1				弑君者·四	家族成功击杀100次秦始皇/武则天
ImperialTombEmperor_3	1	10	Gold|30				率先发难·一	成功拿到秦始皇/武则天的第一击
ImperialTombEmperor_3	10	20	Gold|100				率先发难·二	成功拿到秦始皇/武则天的第一击10次
BossChallenge_1	1	3	Gold|5				初生牛犊不怕虎	挑战一次武林盟主
Boss_1	1	5	Gold|10				盟主的考验	挑战武林盟主个人最终排名进入前100
Boss_2	1	10	Gold|20				盟主的首肯	挑战武林盟主个人最终排名进入前30
Boss_3	1	20	Gold|30;item|9679|1				盟主的青睐	挑战武林盟主个人最终排名进入前10
Boss_4	1	30	Gold|50;item|9680|1				盟主的赞赏	挑战武林盟主个人最终排名第1
Boss_4	100	50	Gold|100;item|9681|1				盟主的惊叹	获得100次挑战武林盟主个人最终排名第1
Boss_4	200	100	Gold|500;item|4248|1		1		武林盟主	获得200次挑战武林盟主个人最终排名第1
BossRob_1	1	5	Gold|10				弱肉强食	在挑战武林盟主中抢夺1次其他玩家的积分
BossRob_Cai	1	10	Gold|20				哼！弱鸡	在挑战武林盟主中有人抢夺自己的积分但技不如人
BossRob_Lucky	1	10	Gold|20				好险好险	在挑战武林盟主中被人抢夺到自己5%的积分
BossRob_UnLucky	1	10	Gold|20				我的积分！	在挑战武林盟主中被人抢夺到自己20%的积分
BossNumberOne_1	1	20	Gold|30				我们最强	挑战武林盟主家族最终排名第1
BossCross_Top10	1	20	Gold|30				英豪会盟	跨服武林盟主中所在家族最终排名前10名
BossCross_Top1	1	50	Gold|50;item|11312|1				傲视群雄	跨服武林盟主中所在家族最终排名第1名
FieldBoss_1	1	3	Gold|10				名将的挑战	成功参与1次历代名将
FieldBoss_2	1	5	Gold|10				名将的首肯	家族成功击杀1次历代名将
FieldBoss_2	10	10	Gold|20;item|9682|1				名将的青睐	家族成功击杀10次历代名将
FieldBoss_2	100	20	Gold|30;item|9683|1		1		名将的赞赏	家族成功击杀100次历代名将
FieldBoss_2	500	50	Gold|100;item|9684|1		1		名将的惊叹	家族成功击杀500次历代名将
FieldBoss_First	1	10	Gold|20				率先出击·一	成功拿到历代名将的第一击
FieldBoss_First	50	20	Gold|100				率先出击·二	成功拿到历代名将的第一击50次
FieldBoss_Jingke	1	10	Gold|20				风萧萧兮易水寒	历代名将中拿到荆轲的最后一击
FieldBoss_Xiangyu	1	20	Gold|30				西楚霸王	历代名将中拿到项羽真身的最后一击
FieldBoss_ Yuji	1	20	Gold|30				虞美人	历代名将中拿到绝世虞姬的最后一击
FieldLeader_1	1	3	Gold|10				老虎屁股就要摸	参与1次野外首领
FieldLeader_Stone1	1	10	Gold|20				首领之宝·一	击杀野外首领时小队获得1次5级魂石
FieldLeader_Stone1	10	20	Gold|30				首领之宝·二	击杀野外首领时小队获得10次5级魂石
FieldLeader_Stone1	20	30	Gold|50				首领之宝·三	击杀野外首领时小队获得20次5级魂石
FieldLeader_Stone1	50	50	Gold|75				首领之宝·四	击杀野外首领时小队获得50次5级魂石
FieldLeader_Stone1	100	100	Gold|100;item|11313|1				首领之宝·五	击杀野外首领时小队获得100次5级魂石
FieldLeader_2	1	5	Gold|10				击杀者	击杀1只野外首领
FieldLeader_2	10	10	Gold|20				猎杀者	击杀10只野外首领
FieldLeader_2	100	20	Gold|30;item|9685|1				怪物猎人	击杀100只野外首领
FieldLeader_2	500	50	Gold|100;item|9686|1		1		野地之王	击杀500只野外首领
CookDishesInBook	1	3	Gold|5				小展身手	第一次做出一道食谱上载有的菜品			
CookDishesOutBook	1	3	Gold|5				凑活吃吧	第一次做出一道食谱上未载有的菜品			
Cook_Boil1	1	3	Gold|5				初识煮道	第一次煮出一道菜品			
Cook_Stew1	1	3	Gold|5				初识炖道	第一次炖出一道菜品			
Cook_Bake1	1	3	Gold|5				初识烤道	第一次烤出一道菜品			
Cook_Fryl1	1	3	Gold|5				初识炸道	第一次炸出一道菜品			
Cook_Steam1	1	3	Gold|5				初识蒸道	第一次蒸出一道菜品			
Cook_Boil	1	20	Gold|50		1		煮菜大师	解锁食谱·煮中所有的菜品			
CookBook_Stew	1	20	Gold|50		1		炖汤大师	解锁食谱·炖中所有的菜品			
CookBook_Bake	1	20	Gold|50		1		烧烤大师	解锁食谱·烤中所有的菜品			
CookBook_Fryl	1	20	Gold|50		1		煎炸大师	解锁食谱·炸中所有的菜品			
CookBook_Steam	1	20	Gold|50		1		蒸菜大师	解锁食谱·蒸中所有的菜品			
HighLevel_Material	1	5	Gold|10				绝品食材·一	获得绝品食材1次			
HighLevel_Material	20	10	Gold|30				绝品食材·二	获得绝品食材20次
HighLevel_Material	50	20	Gold|50				绝品食材·三	获得绝品食材50次			
HighLevel_Material	200	50	Gold|100;item|11695|1		1		绝品食材·四	获得绝品食材200次			
HighLevel_Material	500	70	Gold|200		1		绝品食材·五	获得绝品食材500次			
Cook_Delicacy	1	5	Gold|10				玉盘珍馐·一	做出品质为珍馐的菜品1次			
Cook_Delicacy	20	10	Gold|30				玉盘珍馐·二	做出品质为珍馐的菜品20次
Cook_Delicacy	50	20	Gold|50				玉盘珍馐·三	做出品质为珍馐的菜品50次			
Cook_Delicacy	200	50	Gold|100;item|11696|1		1		玉盘珍馐·四	做出品质为珍馐的菜品200次			
Cook_Delicacy	500	70	Gold|200		1		玉盘珍馐·五	做出品质为珍馐的菜品500次			
GodChef	1	50	Gold|100;item|11697|1		1		金牌厨神	解锁食谱中所有的菜品			
Clothes_1	1	3	Gold|30				衣冠楚楚·一	获得1件衣服外装
Clothes_1	5	5	Gold|20				衣冠楚楚·二	获得5件衣服外装
Clothes_1	10	10	Gold|30				衣冠楚楚·三	获得10件衣服外装
Clothes_1	20	20	Gold|50				衣冠楚楚·四	获得20件衣服外装
Clothes_1	30	30	Gold|100				衣冠楚楚·五	获得30件衣服外装
Arms_1	1	3	Gold|30				神兵流光·一	获得1件武器外装
Arms_1	5	5	Gold|20				神兵流光·二	获得5件武器外装
Arms_1	10	10	Gold|30				神兵流光·三	获得10件武器外装
Arms_1	20	20	Gold|50				神兵流光·四	获得20件武器外装
Arms_1	30	30	Gold|100				神兵流光·五	获得30件武器外装
Hat_1	1	3	Gold|30				高冠博带·一	获得1件头饰外装
