AttribID	Desc	Scale	IsOrgColorValue	MinCastValue	SlotName1	SlotGray1	SlotMinCast1	Slot1Color1	Slot1Light1	Slot1Color2	Slot1Light2	Slot1Color3	Slot1Light3	SlotName2	SlotGray2	SlotMinCast2	Slot2Color1	Slot2Light1	Slot2Color2	Slot2Light2	Slot2Color3	Slot2Light3	SlotName3	SlotGray3	SlotMinCast3	Slot3Color1	Slot3Light1	Slot3Color2	Slot3Light2	Slot3Color3	Slot3Light3
2974		1|1|1		0.5	m5_008	4	0.5	73|73|73|255	8	255|174|31|255	3.76	255|174|0|255	6.89																		
2975		1|1|1		0.5	m5_008	4	0.5	73|73|73|255	8	255|174|31|255	3.76	255|174|0|255	6.89																		
3001		1|1|1		0.4	m2_w_002	4	0.4	112|112|112|255	1.87	149|102|66|255	10.88	223|223|223|255	3.76																		
3002		1|1|1	1	0.51	m2_w_002	0	0.51	106|51|84|255	2.7	195|202|80|190	4.05	206|228|185|255	0																		
3003		1|1|1	1	0.1	m2_w_003	0	0.1	255|255|255|255	0	255|255|255|255	0	255|108|154|255	0																		
3004		1|1|1		0.95	m2_w_003	4	0.95	209|213|213|255	4.03	123|240|230|255	5.09	249|183|99|255	5.39																		
3005		1|1|1		0.94	m2_w_003	4	0.94	255|252|240|255	3.48	255|201|106|215	3.53	255|246|198|255	5.75																		
3006		1|1|1		0.63	m2_w_003	4	0.63	230|255|255|255	3.48	79|104|178|215	5.24	177|123|255|255	6.58																		
3007		1|1|1																													
3008		1|1|1		0.45	m2_w_004	4	0.45	23|202|202|255	3.86	240|195|100|255	3.34	255|126|43|255	7.74																		
3009		1|1|1		0.45	m2_w_004	4	0.45	69|176|34|255	4.24	255|153|116|255	3.5	255|80|98|255	8.72																		
3010		1|1|1		0.45	m2_w_004	4	0.45	88|84|79|134	3.01	255|48|48|255	3.91	255|52|52|255	6.94																		
3011		1|1|1	1	0.1	m2_w_005	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0																		
3012		1|1|1		0.5	m2_w_005	4	0.5	95|95|95|255	0	173|163|255|255	3.29	255|184|0|255	6.77																		
3013		1|1|1		0.5	m2_w_005	4	0.5	99|6|6|223	5.2	189|73|73|29	6.36	255|153|74|86	6.25																		
3014		1|1|1		0.5	m2_w_005	4	0.5	6|99|99|223	5.2	73|108|189|144	7.77	74|202|255|86	4.71																		
3015		1|1|1	1	0	m2_w_006	0	0	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0																		
3016		1|1|1		0.5	m2_w_006	4	0.5	255|255|255|255	3.21	136|191|255|255	4.97	121|188|255|255	5.61																		
3017		1|1|1		0.5	m2_w_006	4	0.5	255|255|255|255	3.39	221|162|81|255	4.97	255|240|202|255	4.25																		
3018		1|1|1		0.5	m2_w_006	4	0.5	255|255|255|255	3.18	182|241|103|223	3.94	89|89|89|255	5.17																		
3019		1|1|1	1	0.55	m2_w_006	0	0.55	255|255|255|255	5.24	43|43|43|255	3.8	255|255|255|255	0																		
3020		1|1|1		0.64	m2_w_004	4	0.64	255|174|0|255	4.41	255|255|255|255	3.96	255|245|195|171	7																		
3021		1|1|1			m2_w_007	1		255|222|43|42	1	255|211|157|255	1.15	44|43|43|50	1.77																		
3022		1|1|1			m2_w_007	1		255|80|80|37	0.85	255|211|155|166	1.39	234|75|75|11	1.23																		
3023		1|1|1			m2_w_007	1		74|150|255|24	1.19	255|251|234|35	1.54	219|219|219|15	2.23																		
3024		1|1|1			m2_w_007	1		255|254|236|24	1.27	255|255|255|187	0.89	189|183|169|11	3.16																		
3025		1|1|1	1	0.1	m2_w_008	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0																		
3026		1|1|1		0.1	m2_w_008	4	0.1	44|72|255|39	0	251|254|255|0	4.08	241|247|255|214	0																		
3027		1|1|1		0.1	m2_w_008	4	0.1	118|114|112|0	2.72	255|193|61|0	5.2	255|182|89|150	0																		
3028		1|1|1		0.1	m2_w_008	4	0.1	255|255|255|61	4.17	241|112|255|0	5.36	142|134|168|176	0																		
3101		1|1|1		0.41	f2_w_002	4	0.41	255|255|255|199	3.91	3|199|238|255	4.44	255|255|255|255	3.88																		
3102		1|1|1		0.41	f2_w_002	4	0.41	255|255|255|206	3.81	144|144|144|255	3.78	255|255|255|141	3.61																		
3103		1|1|1	1	0.1	f2_w_003	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0																		
3104		1|1|1		1.06	f2_w_003	4	1.06	255|247|0|0	5.71	245|185|27|198	11.01	255|255|255|255	0																		
3105		1|1|1		0.5	f2_w_003	4	0.5	213|1|190|255	6.62	253|13|196|223	6.54	255|255|255|255	0																		
3106		1|1|1		0.5	f2_w_003	4	0.5	110|237|255|255	9.21	86|157|255|255	8.32	4|161|168|255	3.9																		
3107		1|1|1																													
3108		1|1|1		0.5	f2_w_004	4	0.5	117|253|191|255	8.63	244|255|232|246	3.92	230|253|152|172	3.21																		
3109		1|1|1		0.5	f2_w_004	4	0.5	255|140|52|120	6.59	230|59|59|209	3.66	255|230|176|160	0																		
3110		1|1|1		0.5	f2_w_004	4	0.5	255|88|215|94	6.16	172|161|255|169	3.34	119|215|255|166	3.24																		
3111		1|1|1	1	0.5	f2_w_005	0	0.5	191|183|165|255	0	255|217|178|255	4.2	255|226|133|0	5.8																		
3112		1|1|1		0.5	f2_w_005	4	0.5	255|54|54|255	8.71	255|255|255|255	4.04	255|198|198|255	0																		
3113		1|1|1	1	0.6	f2_w_005	0	0.6	93|255|255|255	7.81	133|224|255|169	4.4	118|105|110|214	10.51																		
3114		1|1|1	1	0.6	f2_w_005	0	0.6	127|154|255|255	10.69	234|255|252|208	3.17	255|255|255|255	15.87																		
3115		1|1|1	1	0.1	f2_w_006	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0																		
3116		1|1|1	1	0.5	f2_w_006	0	0.5	88|210|241|222	3.81	107|226|243|255	4.21	68|86|260|168	3.79																		
3117		1|1|1	1	0.5	f2_w_006	0	0.5	0|170|107|255	4.85	114|255|140|255	3.74	0|245|184|171	2.25																		
3118		1|1|1	1	0.5	f2_w_006	0	0.5	206|178|86|255	4.85	255|240|121|255	3.74	255|137|61|171	2.61																		
3119		1|1|1	1	0.1	f2_w_006	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0																		
3120		1|1|1		0.5	f2_w_004	4	0.5	255|255|255|255	4.79	203|202|215|255	5.49	255|255|255|255	6.27																		
3121		1|1|1	1		f2_w_007	0		193|204|162|255	1.36	233|212|99|163	1.13	168|203|89|157	1.13																		
3122		1|1|1			f2_w_007	1		255|239|221|255	1.1	255|71|71|255	1.1	255|231|231|255	1.1																		
3123		1|1|1	1		f2_w_007	0		179|236|255|255	1.1	255|248|240|145	1	255|241|241|106	1.1																		
3124		1|1|1			f2_w_007	1		255|240|240|233	1.1	255|255|255|255	1	240|226|255|255	1.1																		
3125		1|1|1	1	0.1	f2_w_008	0	0.1	198|211|221|187	0	57|64|196|96	0	255|255|255|255	4.36																		
3126		1|1|1	1	0.1	f2_w_008	0	0.1	225|204|236|187	0	213|100|201|136	0	255|255|255|255	4.36																		
3127		1|1|1	1	0.1	f2_w_008	0	0.1	213|215|198|184	0	196|193|92|136	0	255|255|255|255	4.36																		
3128		1|1|1	1	0.1	f2_w_008	0	0.1	183|213|189|184	0	80|191|85|136	0	255|255|255|255	4.36																		
3201		1|1|1		0.74	f1_w_002	4	0.74	255|124|54|211	4.46	255|207|52|219	5	255|255|255|211	6.2																		
3202		1|1|1		0.74	f1_w_002	4	0.74	200|30|118|255	4.02	255|196|196|255	5	255|255|255|211	6.2																		
3203		1|1|1	1	0.1	f1_w_003	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0																		
3204		1|1|1		0.1	f1_w_003	4	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0																		
3205		1|1|1		0.49	f1_w_003	4	0.49	69|139|255|0	5.64	255|255|255|255	3.33	88|255|220|169	3.34																		
3206		1|1|1		0.1	f1_w_003	4	0.1	255|101|161|0	8.26	255|255|255|255	0	255|255|255|255	0																		
3207		1|1|1																													
3208		1|1|1	1	0.1	f1_w_004	0	0.1	255|41|41|201	5.38	110|183|255|255	0	169|255|148|42	0																		
3209		1|1|1		0.62	f1_w_004	4	0.62	58|185|112|215	5.41	217|164|25|255	3.67	255|69|69|230	5.28																		
3210		1|1|1		0.62	f1_w_004	4	0.62	10|247|247|255	4.82	196|100|230|255	3.67	255|240|240|230	4.6																		
3211		1|1|1	1	0.5	f1_w_005	0	0.5	255|255|255|255	0	255|255|255|255	0	234|229|229|255	4.52																		
3212		1|1|1		0.6	f1_w_005	4	0.6	176|161|255|163	4.96	255|206|103|255	7.09	255|135|187|255	14.32																		
3213		1|1|1		0.6	f1_w_005	4	0.6	174|0|126|171	7.43	255|204|37|228	5.13	221|30|66|0	5.54																		
3214		1|1|1		0.6	f1_w_005	4	0.6	89|145|255|255	11.06	255|238|144|255	6.27	172|244|255|0	5.54																		
3215		1|1|1		0.1	f1_w_006	4	0.1	249|113|167|189	4.14	253|143|177|255	5.07	217|187|255|195	3.6																		
3216		1|1|1		0.5	f1_w_006	4	0.5	245|208|0|255	4.53	255|238|104|255	4.1	246|255|217|255	3.45																		
3217		1|1|1		0.5	f1_w_006	4	0.5	89|173|255|255	4.5	106|230|255|255	3.85	225|246|253|255	3.55																		
3218		1|1|1	1	0.5	f1_w_006	0	0.5	174|25|25|189	4.38	255|20|49|255	5.2	255|174|209|255	4.54																		
3219		1|1|1		0.5	f1_w_006	4	0.5	149|168|255|189	4.86	174|194|255|255	5.2	221|242|255|255	3.85																		
3220		1|1|1		0.56	f1_w_004	4	0.56	255|255|255|190	5.03	255|255|255|255	0	255|191|205|255	6.76																		
3221		1|1|1	1		f1_w_007	0		255|206|229|30	1.2	166|69|144|139	1.73	255|133|196|51	1.34																		
3222		1|1|1	1		f1_w_007	0		223|226|255|18	1.18	63|57|64|166	0.81	84|120|249|42	1.46																		
3223		1|1|1			f1_w_007	1		170|17|17|59	1.27	255|54|54|72	0.75	255|230|185|26	1.31																		
3224		1|1|1	1		f1_w_007	0		118|118|118|51	0.61	247|247|247|99	0.93	255|194|86|51	1.31																		
3225		1|1|1	1	0.1	f1_w_008	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|227	0																		
3226		1|1|1	1	0.1	f1_w_008	0	0.1	40|253|209|168	0	221|255|252|255	0	255|255|255|228	0																		
3227		1|1|1	1	0.1	f1_w_008	0	0.1	255|250|108|185	0	189|255|114|255	0	255|255|255|219	0																		
3228		1|1|1	1	0.1	f1_w_008	0	0.1	95|106|223|225	0	144|236|255|243	0	255|255|255|219	0																		
3301		1|1|1		0.36	m1_w_002	4	0.36	255|198|202|15	2.29	255|181|181|0	4.11	149|149|149|171	4.21																		
3302		1|1|1		0.36	m1_w_002	4	0.36	255|228|228|46	2.7	255|226|226|0	4.11	163|131|131|171	3.89																		
3303		1|1|1		0.92	m1_w_003	4	0.92	255|250|240|255	3.3	255|69|69|145	4.1	255|175|89|255	5.46																		
3304		1|1|1	1	1	m1_w_003	0	1	255|255|255|255	0	255|255|255|145	0	255|255|255|214	0																		
3305		1|1|1		0.68	m1_w_003	4	0.68	25|43|25|255	8.6	69|255|162|145	2.9	255|189|91|157	3.42																		
3306		1|1|1		0.64	m1_w_003	4	0.64	22|19|19|255	10.96	191|137|113|145	4.58	255|195|119|157	3.81																		
3307		1|1|1																													
3308		1|1|1		0.43	m1_w_004	4	0.43	255|43|43|96	5.41	208|208|208|255	4.07	151|151|151|255	2.01																		
3309		1|1|1		0.58	m1_w_004	4	0.58	131|255|132|255	5.41	255|219|73|29	5.22	243|195|93|255	3.96																		
3310		1|1|1		0.56	m1_w_004	4	0.56	245|103|39|255	7	91|227|255|201	6.46	64|190|241|255	3.58																		
3311		1|1|1	1	0.1	m1_w_005	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0																		
3312		1|1|1	1	0.5	m1_w_005	0	0.5	187|105|230|0	3.26	255|89|250|50	2.18	110|129|255|35	4.29																		
3313		1|1|1		0.5	m1_w_005	4	0.5	181|181|181|255	15.38	101|101|101|255	8.25	89|104|255|255	4.29																		
3314		1|1|1	1	0.5	m1_w_005	0	0.5	59|206|255|74	5.33	82|93|92|139	4.7	255|255|255|137	2.9																		
3315		1|1|1	1	0.1	m1_w_006	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0																		
3316		1|1|1		0.5	m1_w_006	4	0.5	125|180|255|255	5.27	232|253|255|255	3.68	228|228|228|255	3.87																		
3317		1|1|1		0.5	m1_w_006	4	0.5	255|112|109|255	4.12	249|249|249|255	3.75	230|230|230|255	4.01																		
3318		1|1|1		0.5	m1_w_006	4	0.5	35|209|255|255	0	236|214|168|255	4.21	225|225|225|255	3.67																		
3319		1|1|1		0.5	m1_w_006	4	0.5	255|73|103|255	3.54	74|74|74|255	0	251|255|0|255	4.07																		
3320		1|1|1		0.5	m1_w_004	4	0.5	255|255|255|255	12.53	230|225|198|255	11.1	255|255|255|255	-0.28																		
3321		1|1|1	1		m1_w_007	0		255|255|255|255	1.2	255|255|255|255	1.41	255|255|255|255	1.25																		
3322		1|1|1			m1_w_007	1		253|198|80|255	3.03	237|255|225|255	1.41	89|89|89|255	4.31																		
3323		1|1|1			m1_w_007	1		59|31|22|255	3.81	255|255|255|255	1.39	232|188|141|255	4.31																		
3324		1|1|1			m1_w_007	1		93|168|255|255	3.36	231|241|255|255	1.51	255|255|255|255	5																		
3325		1|1|1	1	0.1	m1_w_008	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0																		
3326		1|1|1		0.1	m1_w_008	4	0.1	255|201|86|255	3.37	61|207|255|255	3.67	136|255|230|255	3.55																		
3327		1|1|1		0.1	m1_w_008	4	0.1	153|210|251|255	3.37	255|61|105|255	3.67	101|101|101|255	3.55																		
3328		1|1|1		0.1	m1_w_008	4	0.1	255|197|110|255	3.37	123|123|123|255	4.66	204|37|37|255	3.55																		
3401		1|1|1		0.38	m3_w_002	4	0.38	144|73|208|120	2.56	221|217|236|203	2.86	69|62|62|255	3.58																		
3402		1|1|1		0.26	m3_w_002	4	0.26	46|46|46|255	0	61|61|61|255	3.07	255|136|59|255	3.45																		
3403		1|1|1		0.49	m3_w_003	4	0.49	238|55|43|220	3.57	255|255|255|255	3.34	255|116|116|255	0																		
3404		1|1|1		0.49	m3_w_003	4	0.49	247|235|185|220	3.57	255|255|255|255	3.34	253|255|159|255	5.45																		
3405		1|1|1		0.49	m3_w_003	4	0.49	43|205|238|220	3.57	255|255|255|255	3.34	116|134|255|255	5.12																		
3406		1|1|1		0.49	m3_w_003	4	0.49	238|176|43|220	3.57	255|255|255|255	3.34	249|161|93|255	4.89																		
3407		1|1|1																													
3408		1|1|1		0.54	m3_w_004	4	0.54	255|255|255|255	7.84	0|202|255|35	5.71	255|197|125|255	4.08																		
3409		1|1|1		0.72	m3_w_004	4	0.72	255|61|61|255	7.84	255|237|0|35	5.71	255|226|0|255	20.56																		
3410		1|1|1		0.72	m3_w_004	4	0.72	61|61|61|255	7.84	189|4|4|35	5.71	251|243|210|255	18.13																		
3411		1|1|1	1	0.72	m3_w_005	0	0.72	168|168|168|193	0	243|152|233|223	0	255|255|255|255	0																		
3412		1|1|1	1	0.5	m3_w_005	0	0.5	249|36|36|193	0	255|255|255|255	0	255|255|255|255	0																		
3413		1|1|1		0.6	m3_w_005	4	0.6	65|176|255|123	5.52	255|136|237|163	3.37	255|43|117|90	4.32																		
3414		1|1|1		0.65	m3_w_005	4	0.65	108|37|83|0	7.55	230|230|228|168	4.11	223|107|18|59	5.76																		
3415		1|1|1	1	0.1	m3_w_006	0	0.1	255|255|255|255	0	255|255|255|255	0	141|243|201|255	0																		
3416		1|1|1		0.42	m3_w_006	4	0.42	255|222|151|255	3.57	155|197|255|231	3.24	255|253|241|220	0																		
3417		1|1|1		0.47	m3_w_006	4	0.47	255|246|223|235	3.62	255|255|255|255	3.47	253|174|189|185	0																		
3418		1|1|1		0	m3_w_006	4	0	256|195|103|255	0	52|51|50|203	0	61|61|61|201	0																		
3419		1|1|1	1	0.39	m3_w_006	0	0.39	213|213|213|255	2.08	255|254|241|255	3.69	255|255|255|255	3.66																		
3420		1|1|1		0.76	m3_w_004	4	0.76	255|255|255|230	8.12	195|207|230|255	9.06	255|249|56|255	17.51																		
3421		1|1|1	1		m3_w_007	0		189|246|255|193	0.73	112|132|133|201	0.5	67|71|61|212	0.6																		
3422		1|1|1	1		m3_w_007	0		232|254|255|180	1.2	238|248|255|97	1	237|234|255|39	1.15																		
3423		1|1|1	1		m3_w_007	0		135|200|255|217	1.2	23|64|144|255	1.05	39|50|73|192	1																		
3424		1|1|1	1		m3_w_007	0		255|225|214|101	1.2	255|240|223|53	1.05	255|79|79|112	1																		
3425		1|1|1	1	0.1	m3_w_008	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0																		
3426		1|1|1	1	0.1	m3_w_008	0	0.1	63|63|63|255	4.1	142|126|126|255	0	255|249|249|255	0																		
3427		1|1|1		0.1	m3_w_008	4	0.1	123|42|81|255	0	144|172|255|255	0	193|214|255|255	0																		
3428		1|1|1		0.1	m3_w_008	4	0.1	255|255|255|255	3.9	226|172|255|255	0	195|219|167|255	3.34																		
3501		1|1|1		0.58	f3_w_002	4	0.58	50|50|50|255	5.97	206|206|206|231	3.44	255|238|238|255	4.66																		
3502		1|1|1		0.58	f3_w_002	4	0.58	251|116|141|255	4.07	71|17|17|231	5.05	255|238|238|255	4.66																		
3503		1|1|1		0.37	f3_w_003	4	0.37	196|44|60|255	2.96	255|255|255|255	3.81	255|255|255|255	3.24																		
3504		1|1|1		0.37	f3_w_003	4	0.37	179|174|150|255	0	158|200|123|255	4.38	188|255|149|133	4.4																		
3505		1|1|1		0.37	f3_w_003	4	0.37	54|205|219|255	2.96	255|255|255|255	3.81	255|255|255|255	0																		
3506		1|1|1		0.37	f3_w_003	4	0.37	219|54|167|228	3.19	255|255|255|255	3.81	255|24|172|255	4.4																		
3507		1|1|1																													
3508		1|1|1	1	0.81	f3_w_004	0	0.81	255|247|149|255	0	0|145|174|0	0	46|255|74|255	6.52																		
3509		1|1|1	1	0.81	f3_w_004	0	0.81	255|255|255|255	0	215|109|164|255	0	174|255|46|255	6.52																		
3510		1|1|1		0.81	f3_w_004	4	0.81	245|225|238|255	4.3	121|109|215|255	5.19	234|46|255|255	6.52																		
3511		1|1|1	1	0.1	f3_w_005	0	0.1	223|223|223|255	0	255|226|144|255	4.57	211|202|179|0	0																		
3512		1|1|1		0.5	f3_w_005	4	0.5	236|66|66|255	9.19	255|234|119|255	5.63	189|151|116|190	6.78																		
3513		1|1|1		0.6	f3_w_005	4	0.6	174|119|255|255	11.46	255|255|255|255	5.11	175|106|176|255	9.05																		
3514		1|1|1		0.5	f3_w_005	4	0.5	193|242|255|255	10	255|234|119|255	5.63	255|161|136|190	6.78																		
3515		1|1|1	1	0.1	f3_w_006	0	0.1	255|255|255|255	3.55	255|255|255|255	0	255|255|255|255	0																		
3516		1|1|1		0.5	f3_w_006	4	0.5	135|146|253|255	3.83	190|185|255|255	4.22	219|118|255|255	4.4																		
3517		1|1|1		0.5	f3_w_006	4	0.5	247|63|63|255	3.84	234|130|141|255	4.07	255|201|86|255	4.22																		
3518		1|1|1		0.5	f3_w_006	4	0.5	255|200|84|255	3.94	255|231|179|255	3.76	255|246|236|255	3.62																		
3519		1|1|1		0.5	f3_w_006	4	0.5	179|42|228|255	4.39	255|58|233|255	3.65	213|241|255|227	4.03																		
3520		1|1|1		0.1	f3_w_004	4	0.1	249|165|89|255	5.38	255|255|255|255	5.07	223|223|223|255	7.32																		
3521		1|1|1			f3_w_007	1		185|73|103|255	2.84	255|255|255|255	1	255|255|255|255	1																		
3522		1|1|1			f3_w_007	1		183|161|137|255	4.51	255|232|172|255	1.38	97|255|228|255	2.68																		
3523		1|1|1			f3_w_007	1		165|132|25|255	5	255|225|172|255	1.38	47|67|73|255	5																		
3524		1|1|1			f3_w_007	1		80|89|36|104	5	196|184|118|255	2.04	111|156|105|255	2.04																		
3525		1|1|1	1	0.1	f3_w_008	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0																		
3526		1|1|1		0.5	f3_w_008	4	0.5	255|206|5|255	8.35	193|39|39|255	13.69	172|30|30|255	5.27																		
3527		1|1|1		0.5	f3_w_008	4	0.5	255|255|255|255	9.49	103|97|176|255	11.07	249|170|0|255	4.23																		
3528		1|1|1		0.5	f3_w_008	4	0.5	159|58|77|255	9.42	251|189|149|255	11.07	246|255|97|255	3.73																		
3601		1|1|1		0.44	m4_w_002	4	0.44	54|54|54|255	3.16	255|191|142|222	4.2	230|151|91|213	5.73																		
3602		1|1|1		0.44	m4_w_002	4	0.44	54|54|54|255	3.16	255|255|255|222	3.24	211|187|144|213	6.03																		
3603		1|1|1		0.5	m4_w_003	4	0.5	106|106|106|187	3.9	255|41|41|255	6.59	255|80|80|255	5.58																		
3604		1|1|1		0.5	m4_w_003	4	0.5	180|234|94|255	3.36	255|242|210|255	8.6	151|233|245|255	4.68																		
3605		1|1|1		0.5	m4_w_003	4	0.5	255|231|131|255	3.36	255|199|54|255	8.6	255|142|101|255	4.68																		
3606		1|1|1	1	0.1	m4_w_003	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0																		
3607		1|1|1																													
3608		1|1|1		0.1	m4_w_004	4	0.1	61|223|255|255	8.7	255|255|255|255	0	78|78|78|255	0																		
3609		1|1|1		0.1	m4_w_004	4	0.1	82|82|82|255	8.7	249|31|80|255	0	151|0|0|255	0																		
3610		1|1|1		0.1	m4_w_004	4	0.1	82|82|82|255	8.7	31|249|159|255	0	0|145|151|255	0																		
3611		1|1|1	1	0.1	m4_w_005	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0																		
3612		1|1|1		0.1	m4_w_005	4	0.1	255|76|132|169	3.58	28|255|245|142	4.17	224|255|31|137	4.58																		
3613		1|1|1		0.1	m4_w_005	4	0.1	255|76|76|169	3.58	225|0|0|142	3.71	255|202|31|137	4.58																		
3614		1|1|1		0.1	m4_w_005	4	0.1	121|121|121|169	3.58	225|0|135|142	3.71	31|171|255|112	4.58																		
3615		1|1|1	1	0.1	m4_w_006	0	0.1	132|253|238|255	3.46	255|255|255|255	0	176|251|255|255	3.74																		
3616		1|1|1		0.5	m4_w_006	4	0.5	243|98|98|255	4.4	255|251|221|255	3.56	255|156|112|255	4.84																		
3617		1|1|1		0.5	m4_w_006	4	0.5	71|171|255|255	3.36	187|218|255|255	3.37	148|162|255|255	4.81																		
3618		1|1|1		0.5	m4_w_006	4	0.5	255|190|93|255	3.92	255|249|234|255	3.52	255|215|110|255	4.77																		
3619		1|1|1		0.71	m4_w_006	4	0.71	247|247|247|255	4.68	255|255|255|255	3.24	255|196|151|255	4.68																		
3620		1|1|1		0.5	m4_w_004	4	0.5	253|193|65|255	10.6	255|255|255|255	3.96	255|255|255|255	3.49																		
3621		1|1|1	1		m4_w_007	0		255|255|255|255	1	255|255|255|255	1	255|255|255|255	1																		
3622		1|1|1			m4_w_007	1		236|141|59|255	2.5	226|193|80|255	1.45	214|166|158|255	1.34																		
3623		1|1|1			m4_w_007	1		255|204|149|255	2.98	107|233|251|255	1.32	73|113|212|255	1.75																		
3624		1|1|1			m4_w_007	1		159|179|255|255	3.38	255|255|255|255	1.16	255|255|255|255	2.77																		
3625		1|1|1	1	0.1	m4_w_008	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0																		
3626		1|1|1		0.5	m4_w_008	4	0.5	172|224|255|255	3.91	255|76|76|255	0	166|134|114|255	3.3																		
3627		1|1|1		0.5	m4_w_008	4	0.5	255|133|133|255	4.75	76|255|240|255	3.53	41|33|33|255	5.88																		
3628		1|1|1		0.1	m4_w_008	4	0.1	255|185|110|255	3.15	213|84|84|255	0	149|13|13|255	3.61																		
3701		1|1|1		0.59	f4_w_002	4	0.59	206|206|206|255	5.08	17|74|63|255	3.45	255|255|255|255	2.36																		
3702		1|1|1		0.47	f4_w_002	4	0.47	238|213|236|255	5.13	103|103|103|255	1.75	232|240|237|255	2.02																		
3703		1|1|1	1	0.1	f4_w_003	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0																		
3704		1|1|1		0.1	f4_w_003	4	0.1	0|225|103|255	5.96	237|251|217|255	0	112|255|201|255	0																		
3705		1|1|1		0.1	f4_w_003	4	0.1	225|0|172|255	5.96	249|199|239|255	0	255|112|245|255	0																		
3706		1|1|1		0.1	f4_w_003	4	0.1	153|153|153|255	2.07	249|199|239|255	0	234|0|0|255	0																		
3707		1|1|1																													
3708		1|1|1		0.1	f4_w_004	4	0.1	99|255|158|255	3.34	171|255|138|155	3.75	255|255|255|255	4.23																		
3709		1|1|1		0.25	f4_w_004	4	0.25	114|100|226|255	3.62	255|255|255|209	4.7	255|255|255|255	4.26																		
3710		1|1|1		0.47	f4_w_004	4	0.47	255|65|65|255	3.6	255|82|71|241	5.23	255|208|138|225	4.33																		
3711		1|1|1	1	0.57	f4_w_005	0	0.57	135|135|135|255	0	255|255|255|255	3.03	255|255|255|255	4.25																		
3712		1|1|1	1	0.57	f4_w_005	0	0.57	255|58|70|255	6.75	129|55|96|255	5.24	255|255|255|255	4.56																		
3713		1|1|1		0.57	f4_w_005	4	0.57	255|125|208|0	4.12	255|247|140|163	6.5	255|220|26|219	4.44																		
3714		1|1|1		0.57	f4_w_005	4	0.57	238|255|255|155	6.29	120|253|242|255	7.09	255|206|163|255	5.99																		
3715		1|1|1	1	0.1	f4_w_006	0	0.1	255|255|255|255	0	255|255|255|255	0	255|255|255|255	0																		
3716		1|1|1		0.5	f4_w_006	4	0.5	204|248|255|255	3.48	69|163|230|255	4.99	144|255|232|222	3.06																		
3717		1|1|1	1	0.5	f4_w_006	0	0.5	255|234|181|255	3.71	253|255|123|255	0	255|216|114|255	3.82																		
3718		1|1|1		0.5	f4_w_006	4	0.5	255|253|238|255	3.34	180|255|178|255	3.78	255|228|187|255	3.86																		
3719		1|1|1		0.5	f4_w_006	4	0.5	255|255|255|255	3.28	223|41|41|255	4.33	264|248|229|255	3.64																		
3720		1|1|1		0.1	f4_w_004	4	0.1	255|255|255|255	4.35	255|255|255|255	5.38	245|214|43|255	5.53																		
3721		1|1|1	1		f4_w_007	0		97|137|255|17	1	255|255|255|29	1.23	109|170|255|58	1.65																		
3722		1|1|1	1		f4_w_007	0		255|255|255|23	0.95	255|110|227|88	1.39	233|133|255|51	2.06																		
3723		1|1|1	1		f4_w_007	0		49|63|63|66	1.34	187|126|17|31	2.14	255|178|14|198	1.3																		
3724		1|1|1			f4_w_007	1		163|17|17|37	1.05	91|91|91|117	0.5	255|138|184|56	1.89																		
3725		1|1|1	1	0.1	f4_w_008	0	0.1	255|229|229|218	0	255|255|255|255	0	255|255|255|255	0																		
3726		1|1|1	1	0.1	f4_w_008	0	0.1	54|255|246|136	0	187|207|255|179	0	149|246|255|233	0																		
3727		1|1|1	1	0.1	f4_w_008	0	0.1	228|255|106|179	0	108|255|224|55	0	243|255|191|233	0																		
3728		1|1|1	1	0.1	f4_w_008	0	0.1	100|196|21|86	3.87	138|137|78|4	0	196|255|129|233	0																		
3801		1|1|1		0.5	m5_w_002	4	0.5	99|225|193|106	4.77	255|214|80|255	3.61	88|119|76|207	2.74																		
3802		1|1|1		0.5	m5_w_002	4	0.5	255|255|255|106	0	152|105|251|255	3.29	122|161|253|207	4.34																		
3803		1|1|1		0.64	m5_w_003	4	0.64	174|0|61|255	7.95	52|52|52|255	14.7	106|144|131|255	4.01																		
