WayName	Value	Desc	Comment	Reason2	Round	kin	kinMem
LogWay_RechargeSumOpenBox	493	充值返利礼包	充值返利礼包				
LogWay_AuctionGlobalBonus	494	全服拍卖分红	全服拍卖分红				
LogWay_PartnerCardCompose	495	门客合成	门客合成				
LogWay_KinDefendFuben	496	保家卫国	保家卫国				
LogWay_DumplingBanquetAct	497	饺子宴	饺子宴				
LogWay_DongRiJiAct	498	师徒礼盒	师徒礼盒				
LogWay_ZhenQiNoLimitItem	499	无限真气丹	无限真气丹				
LogWay_ToyDragon	500	玩具接龙	玩具接龙				
LogWay_BrocadeBoxAct	501	锦盒活动	锦盒活动				
LogWay_FamilyReunionDinner	502	年夜饭	年夜饭				
LogWay_YuanXiaoDengMiAct	503	元宵花灯	元宵花灯				
LogWay_ThanksLetterAct	504	感谢信	感谢信				
LogWay_QingRenJie_Gift	505	霞蔚锦簇	霞蔚锦簇				
LogWay_RankBattleActAward	506	武神殿	武神殿重置排名段奖励				
LogWay_XingYiDouZhuanAct	507	星移斗转	星移斗转				
LogWay_BaiXiaoShengTuJian	508	百晓生图鉴	百晓生图鉴				
LogWay_LingJueFengWeek	509	天机迷阵	天机迷阵				
LogWay_Reunion	510	重逢	重逢				
LogWay_FoolsDay	511	愚人节	愚人节				
LogWay_LingTuZhan	512	跨服领土战	跨服领土战				
LogWay_DrinkToDreamAct	513	大醉江湖梦一场	大醉江湖梦一场				
LogWay_ShiYinGeDailyGift	514	诗音阁	诗音阁每日礼包				
LogWay_ShiYinGeEverydayTarget	515	诗音阁	诗音阁活跃度				
LogWay_ShiYinGeRegression	516	诗音阁	诗音阁回流玩家				
LogWay_ShiYinGeWinner	517	诗音阁	诗音阁获胜				
LogWay_ItemDungeon	518	山河图	山河图				
LogWay_ShiYinGeSignUp	519	诗音阁	诗音阁报名				
LogWay_RankBattleCross	520	跨服武神殿	跨服武神殿				
LogWay_RankBattleCross_WIN_AWARD	521	跨服武神殿	跨服武神殿获胜经验奖励				
LogWay_RankBattle_BASE_AWARD	522	跨服武神殿	跨服武神殿基础经验奖励				
LogWay_AnniversaryJiYuAct	523	周年寄语活动	周年寄语活动				
LogWay_PlantCureAct	524	端午养护活动	端午养护活动				
LogWay_ItemRecovery	525	道具回收	道具回收				
LogWay_SummerChouJiang	526	盛夏抽奖	盛夏抽奖				
LogWay_HouseCollectHorse	527	收藏坐骑外装	收藏坐骑外装				
LogWay_ChangBaiZhiDian	528	长白之巅	长白之巅				
LogWay_SummerChouJiangDay	529	盛夏抽奖	每日抽奖奖励				
LogWay_SummerChouJiangBig	530	盛夏大奖	大奖奖励				
LogWay_WarOfIceAndFire	531	灭火大作战	灭火大作战				
LogWay_FactionBattleRank	532	门派竞技	门派竞技名次				
LogWay_KinDonateAct	533	金库储备活动	金库储备活动				
LogWay_KinElectAct	534		家族评选活动				
LogWay_HouseParrot	535		家族鹦鹉家具				
LogWay_KinElect_Vote	536	家族评选	家族评选投票				
LogWay_Rubbing	537	拓印	拓印				
LogWay_LingTuZhanSeason	538	领土战季度奖励	领土战季度奖励				
LogWay_KinFokuBattle	539	龙门之争	龙门之争				
LogWay_Cook	540	烹饪	烹饪				
LogWay_IdIpAddVipExp	541	增加5000Vip经验	增加5000Vip经验				
LogWay_BeautyPageantLGX	542	好声音	VN好声音林更新战队				
LogWay_BeautyPageantZLY	543	好声音	VN好声音赵丽颖战队				
LogWay_BeautyPageant_SemiFinalArea	544	好声音	VN好声音区域				
LogWay_KeyQuestFubenOpenBox	545	遗迹寻宝	遗迹寻宝开箱子				
LogWay_KeyQuestFubenKillBoss	546	遗迹寻宝	遗迹寻宝击杀boss				
LogWay_AdvCangBaoTuWaBao	547	高级藏宝图	高级藏宝图挖宝		1		
LogWay_TianJiMiZhen	548	天机迷阵	天机迷阵				
LogWay_KinChaosFight	549	琼花杯大师赛	家族竞技联赛				
LogWay_PiFeng	550	披风	披风				
LogWay_SecretCard	551	武勋秘令	武勋秘令				
LogWay_CookFishing	552	钓鱼	钓鱼				
LogWay_FurnitureExpire	553	家具过期	家具过期				
LogWay_SecretCard_IDIP	554	武勋秘令	武勋秘令				
