Faction	SkillId	Desc	GainLevel	IsBaseSkill	WeaponType	SwitchSkill	BtnName	IconAltlas	BtnIcon	SortInUI	IsAnger	LevelUpGroup	ShowParam
17	1049	轻功	3				SkillDodge	UI/Atlas/SkillIcon/SkillIcon.prefab	Skill_Dodge				
17	5209	天绅倒悬	4				Skill1	UI/Atlas/SkillIcon/HS_Skill.prefab	HuaShanSkill_03	3		3	
17	5212	朝阳一气剑	10				Skill3	UI/Atlas/SkillIcon/HS_Skill.prefab	HuaShanSkill_04	4		4	
17	5219	抱元劲	20					UI/Atlas/SkillIcon/HS_Skill.prefab	HuaShan_bd01	5		5	
17	5215	风送紫霞	30				Skill4	UI/Atlas/SkillIcon/HS_Skill.prefab	HuaShanSkill_05	6		6	
17	5220	识破	40					UI/Atlas/SkillIcon/HS_Skill.prefab	HuaShan_bd02	7		7	
17	5223	高级剑法	50					UI/Atlas/SkillIcon/HS_Skill.prefab	HuaShan_bd03	8		8	
17	5224	紫霞神功	60					UI/Atlas/SkillIcon/HS_Skill.prefab	HuaShan_bd04	9		9	
17	5225	云天弧光	70					UI/Atlas/SkillIcon/HS_Skill.prefab	HuaShan_bd05	10		10	
17	5227	混元功	80					UI/Atlas/SkillIcon/HS_Skill.prefab	HuaShan_bd06	11		11	
17	5228	天光云影	90					UI/Atlas/SkillIcon/HS_Skill.prefab	HuaShan_bd07	12		12	
18	5501	明教御环诀	1	1			Attack	UI/Atlas/SkillIcon/MJ_Skill.prefab	MingJiaoSkill_01	1		1	
18	5521	明教怒气	1				Skill5	UI/Atlas/SkillIcon/MJ_Skill.prefab	MingJiao_nq01		1	13	
18	5506	焚山噬川	1				Skill2	UI/Atlas/SkillIcon/MJ_Skill.prefab	MingJiaoSkill_02	2		2	
18	1013	打坐	9				BtnDazuo	UI/Atlas/SkillIcon/SkillIcon.prefab	Skill_Meditation				
18	3467	轻功	3				SkillDodge	UI/Atlas/SkillIcon/SkillIcon.prefab	Skill_Dodge				
18	5508	电光石火	4				Skill1	UI/Atlas/SkillIcon/MJ_Skill.prefab	MingJiaoSkill_03	3		3	
18	5511	火光残影	10				Skill3	UI/Atlas/SkillIcon/MJ_Skill.prefab	MingJiaoSkill_04	4		4	
18	5514	光明引	20					UI/Atlas/SkillIcon/MJ_Skill.prefab	MingJiao_bd01	5		5	
18	5515	毁天灭地	30				Skill4	UI/Atlas/SkillIcon/MJ_Skill.prefab	MingJiaoSkill_05	6		6	
18	5524	圣火滔天	40					UI/Atlas/SkillIcon/MJ_Skill.prefab	MingJiao_bd02	7		7	
18	5526	高级剑法	50					UI/Atlas/SkillIcon/MJ_Skill.prefab	MingJiao_bd03	8		8	
18	5527	引火烧身	60					UI/Atlas/SkillIcon/MJ_Skill.prefab	MingJiao_bd04	9		9	
18	5530	星火燎原	70					UI/Atlas/SkillIcon/MJ_Skill.prefab	MingJiao_bd05	10		10	
18	5533	明尊圣体	80					UI/Atlas/SkillIcon/MJ_Skill.prefab	MingJiao_bd06	11		11	
18	5534	火舞凌天	90					UI/Atlas/SkillIcon/MJ_Skill.prefab	MingJiao_bd07	12		12	
19	5601	段氏扇诀	1	1			Attack	UI/Atlas/SkillIcon/DS_Skill.prefab	DuanShiSkill_01	1		1	
19	5631	瀚海百丈冰	1				Skill5	UI/Atlas/SkillIcon/DS_Skill.prefab	DuanShi_nq01		1	13	
19	5606	一阳指	1				Skill2	UI/Atlas/SkillIcon/DS_Skill.prefab	DuanShiSkill_02	2		2	
19	1013	打坐	9				BtnDazuo	UI/Atlas/SkillIcon/SkillIcon.prefab	Skill_Meditation				
19	1081	轻功	3				SkillDodge	UI/Atlas/SkillIcon/SkillIcon.prefab	Skill_Dodge				
19	5608	五罗轻烟	4				Skill1	UI/Atlas/SkillIcon/DS_Skill.prefab	DuanShiSkill_03	3		3	
19	5611	六脉神剑	10				Skill3	UI/Atlas/SkillIcon/DS_Skill.prefab	DuanShiSkill_04	4		4	
19	5625	段氏心法	20					UI/Atlas/SkillIcon/DS_Skill.prefab	DuanShi_bd01	5		5	
19	5626	水龙狱	30				Skill4	UI/Atlas/SkillIcon/DS_Skill.prefab	DuanShiSkill_05	6		6	
19	5633	妙谛指	40					UI/Atlas/SkillIcon/DS_Skill.prefab	DuanShi_bd03	7		7	
19	5635	高级扇诀	50					UI/Atlas/SkillIcon/DS_Skill.prefab	DuanShi_bd02	8		8	
19	5637	画地为牢	60					UI/Atlas/SkillIcon/DS_Skill.prefab	DuanShi_bd04	9		9	
19	5642	枯荣禅功	70					UI/Atlas/SkillIcon/DS_Skill.prefab	DuanShi_bd07	10		10	
19	5645	天龙神功	80					UI/Atlas/SkillIcon/DS_Skill.prefab	DuanShi_bd06	11		11	
19	5646	北冥神功	90					UI/Atlas/SkillIcon/DS_Skill.prefab	DuanShi_bd05	12		12	
20	5801	万花笔法	1	1			Attack	UI/Atlas/SkillIcon/WHua_Skill.prefab	WanHuaSkill_01	1		1	
20	5820	执笔画江山	1				Skill5	UI/Atlas/SkillIcon/WHua_Skill.prefab	WanHuashan_nq01		1	13	
20	5805	执颖点墨	1				Skill2	UI/Atlas/SkillIcon/WHua_Skill.prefab	WanHuaSkill_02	2		2	
20	1013	打坐	9				BtnDazuo	UI/Atlas/SkillIcon/SkillIcon.prefab	Skill_Meditation				
20	1081	轻功	3				SkillDodge	UI/Atlas/SkillIcon/SkillIcon.prefab	Skill_Dodge				
20	5808	兰摧玉折	4				Skill1	UI/Atlas/SkillIcon/WHua_Skill.prefab	WanHuaSkill_03	3		3	
20	5810	墨虎如生	10				Skill3	UI/Atlas/SkillIcon/WHua_Skill.prefab	WanHuaSkill_04	4		4	
20	5824	万花心法	20					UI/Atlas/SkillIcon/WHua_Skill.prefab	WanHua_bd01	5		5	
20	5812	绘虎点睛	30				Skill4	UI/Atlas/SkillIcon/WHua_Skill.prefab	WanHuaSkill_05	6		6	
20	5831	墨守成规	40					UI/Atlas/SkillIcon/WHua_Skill.prefab	WanHua_bd02	7		7	
20	5835	高级普攻	50					UI/Atlas/SkillIcon/WHua_Skill.prefab	WanHua_bd03	8		8	
20	5837	与虎添翼	60					UI/Atlas/SkillIcon/WHua_Skill.prefab	WanHua_bd04	9		9	
20	5844	虎啸山林	70					UI/Atlas/SkillIcon/WHua_Skill.prefab	WanHua_bd05	10		10	
20	5849	清心静气	80					UI/Atlas/SkillIcon/WHua_Skill.prefab	WanHua_bd06	11		11	
20	5850	墨染失色	90					UI/Atlas/SkillIcon/WHua_Skill.prefab	WanHua_bd07	12		12	
20	5839	绘虎点睛	9999				Skill4	UI/Atlas/SkillIcon/WHua_Skill.prefab	WanHua_bd04_jn04				5838
21	5901	杨门箭术	1	1	1		Attack	UI/Atlas/SkillIcon/YM_Skill.prefab	YangMenSkill_Arch_01	1		1
21	5912	杨门枪术	1	1			Attack	UI/Atlas/SkillIcon/YM_Skill.prefab	YangMenSkill_Halberd_01	1		1
21	5924	杨门怒气	1				Skill5	UI/Atlas/SkillIcon/YM_Skill.prefab	YangMen_nq01		1	13
21	5905	流光绝影	1		1		Skill2	UI/Atlas/SkillIcon/YM_Skill.prefab	YangMenSkill_Arch_02	2		2
21	5916	奔狼枪	1				Skill2	UI/Atlas/SkillIcon/YM_Skill.prefab	YangMenSkill_Halberd_02	2		2
21	5911	弓切枪	1		1	1	Skill4	UI/Atlas/SkillIcon/YM_Skill.prefab	YangMenSkill_Arch_05			
21	5922	枪切弓	1			1	Skill4	UI/Atlas/SkillIcon/YM_Skill.prefab	YangMenSkill_Halberd_05			
21	1013	打坐	9				BtnDazuo	UI/Atlas/SkillIcon/SkillIcon.prefab	Skill_Meditation			
21	1081	轻功	3				SkillDodge	UI/Atlas/SkillIcon/SkillIcon.prefab	Skill_Dodge			
21	5908	啸风诀	4		1		Skill1	UI/Atlas/SkillIcon/YM_Skill.prefab	YangMenSkill_Arch_03	3		3
21	5918	奇门盾	4				Skill1	UI/Atlas/SkillIcon/YM_Skill.prefab	YangMenSkill_Halberd_03	3		3
21	5907	碎金箭术	10		1		Skill3	UI/Atlas/SkillIcon/YM_Skill.prefab	YangMenSkill_Arch_04	4		4
21	5921	横扫千军	10				Skill3	UI/Atlas/SkillIcon/YM_Skill.prefab	YangMenSkill_Halberd_04	4		4
21	5927	铁血心法	20					UI/Atlas/SkillIcon/YM_Skill.prefab	WanHua_bd01	5		5
21	5928	枪联弓映	30					UI/Atlas/SkillIcon/YM_Skill.prefab	WanHua_bd01	6		6
21	5931	万夫不当	40					UI/Atlas/SkillIcon/YM_Skill.prefab	WanHua_bd02	7		7
21	5933	普攻进阶	50					UI/Atlas/SkillIcon/YM_Skill.prefab	WanHua_bd03	8		8
21	5936	后发制人	60					UI/Atlas/SkillIcon/YM_Skill.prefab	WanHua_bd04	9		9
21	5939	否极阳回	70					UI/Atlas/SkillIcon/YM_Skill.prefab	WanHua_bd05	10		10
21	5942	杨门本生	80					UI/Atlas/SkillIcon/YM_Skill.prefab	WanHua_bd06	11		11
21	5943	两级反转	90					UI/Atlas/SkillIcon/YM_Skill.prefab	WanHua_bd07	12		12
