nTaskId	szTaskIndex	szTaskTitle	szDetailDesc	szTaskDesc	szFinishDesc	szTrackInfo	szDoNextFunc	szFinishTrackInfo	Require_FinishTask	nAutoNextTaskId	nFinishDialogId	nFinishTaskNpcId	Target_PersonalFuben	Target_Achievement	Target_KillNpc	bNotAutoNext	bKillNpcToAllPlayer	bAutoFinish	Target_ExtPoint	szAwardInfo	nTaskType	bShowFinish	nNeedConfirmFinish	Target_ExtInfo	nTaskItemId	szOnFinishTrack	Target_EnterMap	Target_CollectItem	nAcceptTaskNpcId	Target_MinLevel	Require_MinLevel	Require_MaxLevel	bCanRepeat	nAcceptDialogId	IsFinishGuide
70078	ZhenFaTask4_33	[常]阵法试炼	为你的[FFFE0D]师傅$ZFT[-]展示勤修苦练之果，前往雁荡山击败[FFFE0D]云游道士[-]	为[FFFE0D]师傅[-]击败[FFFE0D]云游道士[-]	为[FFFE0D]师傅[-]击败[FFFE0D]云游道士[-]	[url=goanddosomething:test, 402, 9841, 4992, autofight, 1]									1752|5		1	1			6												1		
70079	ZhenFaTask4_34	[常]阵法试炼	让你的[FFFE0D]徒弟$ZFT[-]体会惩恶扬善之道，前往雁荡山击败[FFFE0D]云游道士[-]	与[FFFE0D]徒弟[-]击败[FFFE0D]云游道士[-]	与[FFFE0D]徒弟[-]击败[FFFE0D]云游道士[-]	[url=goanddosomething:test, 402, 9841, 4992, autofight, 1]									1752|5		1	1			6												1		
70080	ZhenFaTask4_35	[常]阵法试炼	与你的[FFFE0D]结拜$ZFT[-]前往雁荡山，一同荡平[FFFE0D]云游道士[-]	与[FFFE0D]结拜[-]荡平[FFFE0D]云游道士[-]	与[FFFE0D]结拜[-]荡平[FFFE0D]云游道士[-]	[url=goanddosomething:test, 402, 9841, 4992, autofight, 1]									1752|5		1	1			6												1		
70081	ZhenFaTask4_36	[常]阵法试炼	与你的[FFFE0D]好友$ZFT[-]前往雁荡山，一同铲除[FFFE0D]云游道士[-]	与[FFFE0D]好友[-]铲除[FFFE0D]云游道士[-]	与[FFFE0D]好友[-]铲除[FFFE0D]云游道士[-]	[url=goanddosomething:test, 402, 9841, 4992, autofight, 1]									1752|5		1	1			6												1		
70082	ZhenFaTask5_1	[常]阵法试炼	找[FFFE0D]月老[-]聊聊,他好像有重要的事情要和你说。	找[FFFE0D]月老[-]聊聊	找[FFFE0D]月老[-]聊聊			[url=npc:testtt,2371,10]			50001	2371						1			6												1		
70083	ZhenFaTask5_2	[常]阵法试炼	找[FFFE0D]月老[-]聊聊,他好像有重要的事情要和你说。	找[FFFE0D]月老[-]聊聊	找[FFFE0D]月老[-]聊聊			[url=npc:testtt,2371,10]			50002	2371						1			6												1		
70084	ZhenFaTask5_3	[常]阵法试炼	找[FFFE0D]上官飞龙[-]聊聊,他好像有重要的事情要和你说。	找[FFFE0D]上官飞龙[-]聊聊	找[FFFE0D]上官飞龙[-]聊聊			[url=npc:testtt,1839,1000]			50003	1839						1			6												1		
70085	ZhenFaTask5_4	[常]阵法试炼	找[FFFE0D]上官飞龙[-]聊聊,他好像有重要的事情要和你说。	找[FFFE0D]上官飞龙[-]聊聊	找[FFFE0D]上官飞龙[-]聊聊			[url=npc:testtt,1839,1000]			50004	1839						1			6												1		
70086	ZhenFaTask5_5	[常]阵法试炼	找[FFFE0D]纳兰潜凛[-]聊聊,他好像有重要的事情要和你说。	找[FFFE0D]纳兰潜凛[-]聊聊	找[FFFE0D]纳兰潜凛[-]聊聊			[url=npc:testtt,629,10]			50005	629						1			6												1		
70087	ZhenFaTask5_6	[常]阵法试炼	找[FFFE0D]公孙惜花[-]聊聊,她好像有重要的事情要和你说。	找[FFFE0D]公孙惜花[-]聊聊	找[FFFE0D]公孙惜花[-]聊聊			[url=npc:testtt,99,10]			50006	99						1			6												1		
70088	ZhenFaTask6_1	[常]阵法试炼	回答[FFFE0D]凤囍[-]的问题,她好像有重要的事情要和你说。	回答[FFFE0D]凤囍[-]的问题	回答[FFFE0D]凤囍[-]的问题	[url=npc:testtt,2373,10]	OnZhenFaTaskDoNext					2373						1	1		6												1		
70089	ZhenFaTask6_2	[常]阵法试炼	回答[FFFE0D]凤囍[-]的问题,她好像有重要的事情要和你说。	回答[FFFE0D]凤囍[-]的问题	回答[FFFE0D]凤囍[-]的问题	[url=npc:testtt,2373,10]	OnZhenFaTaskDoNext					2373						1	1		6												1		
70090	ZhenFaTask6_3	[常]阵法试炼	回答[FFFE0D]上官飞龙[-]的问题,他好像有重要的事情要和你说。	回答[FFFE0D]上官飞龙[-]的问题	回答[FFFE0D]上官飞龙[-]的问题	[url=npc:testtt,1839,1000]	OnZhenFaTaskDoNext					1839						1	1		6												1		
70091	ZhenFaTask6_4	[常]阵法试炼	回答[FFFE0D]上官飞龙[-]的问题,他好像有重要的事情要和你说。	回答[FFFE0D]上官飞龙[-]的问题	回答[FFFE0D]上官飞龙[-]的问题	[url=npc:testtt,1839,1000]	OnZhenFaTaskDoNext					1839						1	1		6												1		
70092	ZhenFaTask6_5	[常]阵法试炼	回答[FFFE0D]纳兰潜凛[-]的问题,他好像有重要的事情要和你说。	回答[FFFE0D]纳兰潜凛[-]的问题	回答[FFFE0D]纳兰潜凛[-]的问题	[url=npc:testtt,629,10]	OnZhenFaTaskDoNext					629						1	1		6												1		
70093	ZhenFaTask6_6	[常]阵法试炼	回答[FFFE0D]公孙惜花[-]的问题,她好像有重要的事情要和你说。	回答[FFFE0D]公孙惜花[-]的问题	回答[FFFE0D]公孙惜花[-]的问题	[url=npc:testtt,99,10]	OnZhenFaTaskDoNext					99						1	1		6												1		
