nTaskId	szTaskIndex	szTaskTitle	szDetailDesc	szTaskDesc	szFinishDesc	szTrackInfo	szFinishTrackInfo	ShowClientNpc	DeleteClientNpc	Require_FinishTask	nAutoNextTaskId	nFinishDialogId	nFinishTaskNpcId	Target_PersonalFuben	bAutoFinish	Target_ExtPoint	nTaskItemId	bShowFinish	nNeedConfirmFinish	szAwardInfo	Target_KillNpc	bKillNpcToAllPlayer	nTaskType	bNotAutoNext	szOnFinishTrack	Target_OnTrap	Target_CollectItem	Target_Achievement	Target_EnterMap	Target_MinLevel	Require_MinLevel	Require_MaxLevel	nAcceptTaskNpcId	nAcceptDialogId	IsFinishGuide	bCanRepeat	szAchievement
70	MainTask1_70	[主]恶霸贾少	这些恶霸欺善怕恶，才这么两下子就把自己的老大出卖了，正好方便我行事！	教训[FFFE0D]贾少[-]	教训[FFFE0D]贾少[-]	[url=npcanddosomething:test, 1009, 401, autofight, 1]		40	40	69	71				1					Exp|68000	1009|1	1	1	1	[url=dialog:test, 69]												
71	MainTask1_71	[主]意外之外	看来这件事真的不是这些恶霸的所为，那紫轩姑娘到底去哪里了呢？莫非是杨兄失踪了，她也去寻找杨兄了？	到约定的地方找[FFFE0D]杨影枫[-]	到约定的地方找[FFFE0D]杨影枫[-]	[url=clientnpcbyidx:test, 43]	[url=clientnpcbyidx:test, 43]	43	43	70	72	70			1					Exp|16000			1	1													
72	MainTask1_72	[主]藏剑山庄	不可能！我绝不相信卓大哥是如此心狠手辣之人，既然如此，我就与杨兄一同前往藏剑山庄，上剑气峰将真相查个水落石出！	与杨影枫一探[FFFE0D]藏剑山庄[-]	与杨影枫一探[FFFE0D]藏剑山庄[-]	[url=gotofuben:test, 2, 2, 1]		44	44	71	73			2|2|1	1			1		Exp|60000			1	1													
73	MainTask1_73	[主]真相大白	紫轩姑娘心中虽有杨兄，然而她毕竟已经是卓……卓非凡最为亲密的人了，于情于理，她都不可能离开卓非凡，不知道杨兄会不会因此接受纳兰姑娘，抑或是仍不放弃紫轩姑娘。	还是去劝慰一下[FFFE0D]杨影枫[-]吧	还是去劝慰一下[FFFE0D]杨影枫[-]吧	[url=clientnpcbyidx:test, 43]	[url=clientnpcbyidx:test, 43]	43	43	72	74	71						1	1	Exp|8000;Item|1042|1			1	1													
74	MainTask1_74	[主]收集木枝	卓大…卓非凡如此年纪，就已是江湖少有的剑法大家，唉，若是一心匡扶武林正道，将来武林盟主岂不囊中之物，又何必如此急于一时。贪欲之毒，可见一斑。我在想什么呢，还是早点找了木柴回去吧。	得先收集一些[FFFE0D]干燥的木头[-]	得先收集一些[FFFE0D]干燥的木头[-]	[url=npc:testtt,1273,401]		44		73	75				1	1				Exp|16000			1	1	[url=dialog:test, 73]												
75	MainTask1_75	[主]寻找食物	难道当日全是卓大哥的阴谋吗…「绝情断意剑」卓非凡……果然人如其剑…我从未想到他竟然对付我们武林同道…狼子野心，唉，不想了，腹中有些饥饿，去找点吃的吧。	在附近[FFFE0D]找找看有没有吃的[-]	在附近[FFFE0D]找找看有没有吃的[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	44		74	76				1	1	74			Exp|12000			1	1	[url=dialog:test, 74]												
76	MainTask1_76	[主]取果果腹	咦，这里有些野果，正好用于果腹，摘些果子就回去吧！	采集一些[FFFE0D]果子[-]	采集一些[FFFE0D]果子[-]	[url=npc:testtt,1349,401]		44		75	77				1	1				Exp|12000			1	1	[url=dialog:test, 75]												
77	MainTask1_77	[主]生火御寒	这些木柴应当是足够了，过了今夜可得找个更合适的安身之所，总不能每日都在外奔波，长此以往体力必然不支，今夜过后回忘忧岛吧！	回去[FFFE0D]生火[-]御寒	回去[FFFE0D]生火[-]御寒	[url=taskitem:test, $T]	[url=taskitem:test, $T]	44	44	76	78				1	1	76			Exp|16000			1	1													
78	MainTask1_78	[主]迷茫犹豫	竟又是这个红衣少女……我们还真是有缘，这一次前来追她的人武功比上次的高出许多，双方似乎在谈论些什么，不过这次她恐怕是逃不掉了，怎么办？先回去问问杨兄好了！	询问[FFFE0D]杨影枫[-]有何打算	询问[FFFE0D]杨影枫[-]有何打算	[url=clientnpcbyidx:test, 43]	[url=clientnpcbyidx:test, 43]	43|45	43	77	79	77								Exp|16000			1	1													
79	MainTask1_79	[主]重返忘忧	杨兄说得也对，三番两次相遇毕竟也是缘分，就算这红衣少女是恶人，也先救下了再说，这一次定要问出究竟是怎么回事。	启程[FFFE0D]返回忘忧岛[-]	启程[FFFE0D]返回忘忧岛[-]	[url=gotofuben:test, 2, 3, 1]		44|45	44	78	80			2|3|1	1			1		Exp|60000			1	1													
80	MainTask1_80	[主]冤家聚头	不是冤家不聚头，这少女竟然是上官飞龙的女儿……杨兄的父亲与上官飞龙比武，导致两人身死，这份仇恨恐怕不是这么容易就能化解的，这可不好办了……	询问[FFFE0D]杨影枫[-]接下来怎么办	询问[FFFE0D]杨影枫[-]接下来怎么办	[url=clientnpcbyidx:test, 43]	[url=clientnpcbyidx:test, 43]	43|45|47		79	81	79						1	1	Exp|4000;Item|1082|1			1	1													
81	MainTask1_81	[主]抵抗追兵	看来这些追兵还是不太愿意轻易放弃，只能由我出手先行阻拦一番了！	阻拦飞龙堡的[FFFE0D]刺客[-]	阻拦飞龙堡的[FFFE0D]刺客[-]	[url=npcanddosomething:test, 1750, 401, autofight, 1]		43|45|47	43|45|47	80	82				1					Exp|4000	1750|3	1	1	1	[url=dialog:test, 80]												
82	MainTask1_82	[主]前往雁荡	月姑娘伤势严重，虽然眼下她强撑着，不过明眼人都知道撑不了多久，希望杨兄快些回来吧！	[FFFE0D]前往雁荡山[-]寻找两人	[FFFE0D]前往雁荡山[-]寻找两人	[url=pos:test,401,12450,2010]	[url=pos:test,401,12450,2010]	45	45	81	83				1					Exp|68000			1	1					402								
83	MainTask1_83	[主]两代恩怨	不知道杨兄接下来会作何打算，总不能一直这么僵持下去吧？方才交手的敌人武功颇高，人数又多，还是先看看月姑娘伤势怎样吧！	询问[FFFE0D]月眉儿[-]伤势如何	询问[FFFE0D]月眉儿[-]伤势如何	[url=clientnpcbyidx:test, 49]	[url=clientnpcbyidx:test, 49]	49|52	49|52	82	84	81						1	1	Exp|40000;Item|2399|1			1	1	[url=dialog:test, 6081]												
84	MainTask1_84	[主]暂离险境	看来月姑娘伤势很重，若是不趁早治疗，恐怕会有些麻烦，问问杨兄准备怎么办吧！	询问[FFFE0D]杨影枫[-]打算怎么办	询问[FFFE0D]杨影枫[-]打算怎么办	[url=clientnpcbyidx:test, 51]	[url=clientnpcbyidx:test, 51]	50|51	50|51	83	85	82						1	1	Exp|40000;ComposeValue|1|4			1	1													
85	MainTask1_85	[主]暂告段落	眼下只能静待月姑娘伤势痊愈，更何况闯荡江湖已有一些时日，江湖中尚有许多趣事，何不前去看一看？	历练一番升到[FFFE0D]16[-]级	历练一番升到[FFFE0D]16[-]级	[url=openwnd:test, CalendarPanel, 1]	[url=openwnd:test, CalendarPanel, 1]	52		84	86				1								1	1						16							
86	MainTask1_86	[主]寻找伤药	唉，想要寻找一名药商颇为困难，若是没有的话，不知道这附近有没有草药。	[FFFE0D]到附近[-]寻找有没有草药	[FFFE0D]到附近[-]寻找有没有草药	[url=taskitem:test, $T]	[url=taskitem:test, $T]	52		85	87				1	1	85	1	1	Exp|16000;Item|1052|1			1	1	[url=dialog:test, 83]												
87	MainTask1_87	[主]敷药疗伤	想不到此处竟然也有村民，也许能够有意外收获，问问他是否知道哪里有伤药。	询问[FFFE0D]村民[-]哪有药卖	询问[FFFE0D]村民[-]哪有药卖	[url=npc:testtt,$F,402]	[url=npc:testtt,$F,402]	52	52	86	88	84	1074							Exp|16000			1	1													
88	MainTask1_88	[主]踏破铁鞋	总算是找到了金创药，赶紧带回去给杨兄！	将金创药带给[FFFE0D]杨影枫[-]	将金创药带给[FFFE0D]杨影枫[-]	[url=clientnpcbyidx:test, 51]	[url=clientnpcbyidx:test, 51]	51	51	87	89	85								Exp|24000			1	1													
89	MainTask1_89	[主]幸不辱命	不知道月姑娘是否会领情，将金创药带给她吧！	将金创药交给[FFFE0D]月眉儿[-]	将金创药交给[FFFE0D]月眉儿[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	54	54	88	90				1	1	88			Exp|24000			1	1	[url=dialog:test, 86]												
90	MainTask1_90	[主]世外桃源	总算是回到这个世外桃源了，还是忘忧岛好，山清水秀，若有朝一日我隐居山林，此处倒是一个不错的选择，好久没见纳兰姑娘了，快去见见她吧！	回忘忧岛见见[FFFE0D]纳兰姑娘[-]	回忘忧岛见见[FFFE0D]纳兰姑娘[-]	[url=npc:testtt,$F,1000]	[url=npc:testtt,$F,1000]	66		89	91	87	418							Exp|24000			1	1													
91	MainTask1_91	[主]再见岛主	纳兰姑娘还是一如既往的温柔善良，能看得出来杨兄现在陷入两难之境，看来紫轩姑娘对杨兄来说真的很重要，先去见见纳兰岛主吧。	去见见[FFFE0D]纳兰岛主[-]	去见见[FFFE0D]纳兰岛主[-]	[url=npc:testtt,$F,1000]	[url=npc:testtt,$F,1000]	65|66	65|66	90	92	88	954							Exp|24000			1	1													
92	MainTask1_92	[主]心魔幻阵	人在江湖，岂会没有危险，无忧教的心魔阵，也不是人人都能去的，得此机会，自然是要闯上一闯！	闯过无忧教[FFFE0D]心魔幻阵[-]	闯过无忧教[FFFE0D]心魔幻阵[-]	[url=goanddosomething:test, 1000, 9250, 5100, gotofuben, 2, 4, 1]		53|225	53|225	91	93			2|4|1	1			1		Exp|60000			1	1													
93	MainTask1_93	[主]拜谢岛主	心魔幻阵果然玄妙异常，实在令人受益匪浅，得向纳兰岛主道谢才是！	向[FFFE0D]纳兰岛主[-]道谢	向[FFFE0D]纳兰岛主[-]道谢	[url=npc:testtt,$F,1000]	[url=npc:testtt,$F,1000]	228	228	92	94	90	954					1	1	Exp|8000;Item|1102|1			1	1													
94	MainTask1_94	[主]一路相伴	离藏剑山庄之约还有一段日子，虽然着实有些舍不得这醉人的地方，只是闯过心魔阵，有所感悟，理应历练一番，看来杨兄与我的想法一致，这就去找纳兰姑娘道别吧！	向[FFFE0D]纳兰真[-]道别	向[FFFE0D]纳兰真[-]道别	[url=npc:testtt,$F,1000]	[url=npc:testtt,$F,1000]			93	95	91	418							Exp|12000			1	1													
95	MainTask1_95	[主]闯阵成功	原来心魔阵是这般样子，闯过之后方知其中凶险，难怪江湖上那么多人觊觎这心魔阵，若是能够据为己有，用以磨练人才，必将成就一番事业！不知道杨兄有什么收获！	向[FFFE0D]杨影枫[-]道别	向[FFFE0D]杨影枫[-]道别	[url=npc:testtt,$F,1000]	[url=npc:testtt,$F,1000]			94	96	92	419					1	1	Exp|12000;ComposeValue|1|5			1	1													
96	MainTask1_96	[主]雁荡历练	路途之上少了一人陪伴，竟有些不习惯，要前往藏剑山庄，必将经过雁荡山，卓……卓非凡罪孽深重，狼子野心，无论如何也要摧毁他的阴谋！这段日子，我就在这附近历练一番吧！	前往[FFFE0D]雁荡山[-]	前往[FFFE0D]雁荡山[-]	[url=pos:test,402,7387,5476]	[url=pos:test,402,7387,5476]			95	97				1					Exp|12000			1	1					402								
97	MainTask1_97	[主]有恩必报	上次路过雁荡山，李兄帮我，此恩虽小，却不可不报，去问问他有什么可以帮忙的！	问问[FFFE0D]李大牛[-]有无难解之事	问问[FFFE0D]李大牛[-]有无难解之事	[url=npc:testtt,$F,402]	[url=npc:testtt,$F,402]			96	98	94	1074							Exp|12000			1	1													
98	MainTask1_98	[主]一试身手	听闻附近有一伙贼匪，乃是一些云游道士，有一些武功，寻常官兵都未必是他们的对手，在此为非作歹，正好让我去见识见识！	击败[FFFE0D]云游道士[-]	击败[FFFE0D]云游道士[-]	[url=npcanddosomething:test, 1752, 402, autofight, 1]				97	99				1					Exp|40000	1752|3	1	1	1													
99	MainTask1_99	[主]准备返程	这些贼匪的武功倒是不错，只可惜遇见了我，是时候回去告诉大牛这件事了！	[FFFE0D]准备回去[-]找李大牛	[FFFE0D]准备回去[-]找李大牛	[url=taskitem:test, $T]	[url=taskitem:test, $T]			98	100				1	1	98			Exp|12000			1	1	[url=dialog:test, 96]												
100	MainTask1_100	[主]意外惊喜	想不到如今杨兄都已经是山庄的主人了，悲魔山庄，倒是霸气！也该去见见他了！	[FFFE0D]到附近找找看[-]杨影枫	[FFFE0D]到附近找找看[-]杨影枫	[url=taskitem:test, $T]	[url=taskitem:test, $T]	56	56	99	101				1	1	99			Exp|12000			1	1	[url=dialog:test, 97]												
101	MainTask1_101	[主]共踏征程	哈哈，幸好杨兄没有改变留下踪迹的习惯，总算是找到他了！	找[FFFE0D]杨影枫[-]道贺	找[FFFE0D]杨影枫[-]道贺	[url=clientnpcbyidx:test, 55]	[url=clientnpcbyidx:test, 55]	55	55	100	102	98								Exp|12000			1	1													
102	MainTask1_102	[主]再上藏剑	原来是这一路上遇见了不少阻碍，看来月姑娘是不会轻易放下这段仇恨的，只怕日后终有一日两人会对决，不过当今重中之重，是先解决藏剑山庄的事情！所幸我在此等待，正好与杨兄一同上路。	两人一同前往[FFFE0D]藏剑山庄[-]	两人一同前往[FFFE0D]藏剑山庄[-]	[url=goanddosomething:test, 402, 10850, 3560, gotofuben, 2, 5, 1]		56	56	101	103			2|5|1	1			1		Exp|60000			1	1													
103	MainTask1_103	[主]阴谋暴露	这样下去不是办法，飞龙堡乃当今江湖御下三盟之一，若是持续这般派人前来，只怕是没完没了，看来只能是我来引开他们，让杨兄先行前往藏剑山庄。	得和[FFFE0D]杨影枫[-]商量一下	得和[FFFE0D]杨影枫[-]商量一下	[url=clientnpcbyidx:test, 55]	[url=clientnpcbyidx:test, 55]	55	55	102	104	100						1	1	Exp|16000;Item|1062|1			1	1													
104	MainTask1_104	[主]再探究竟	藏剑山庄的剑法果然有些门道，唉，卓、卓非凡的剑术已经是极为不凡了，只可惜心术不正，恐怕正因如此，剑法才始终未能登峰造极。唉，多想无益，还是去周围看看是否还有别的埋伏吧！	前往[FFFE0D]藏剑山庄[-]	前往[FFFE0D]藏剑山庄[-]	[url=pos:test,402,12840,3160]	[url=pos:test,402,12840,3160]	56	56	103	105				1					Exp|12000			1	1	[url=dialog:test, 101]				483								
105	MainTask1_105	[主]新仇旧怨	想不到误打误撞竟然遇见了紫轩姑娘与卓非凡，看来两人之间也是多有不合，只是不知是大难临头导致的，还是本来紫轩就不喜卓非凡的行径，既然来了，就前去一见吧。	击败[FFFE0D]藏剑庄丁[-]	击败[FFFE0D]藏剑庄丁[-]	[url=npcanddosomething:test, 1076, 483, autofight, 1]				104	106				1					Exp|40000	1076|3	1	1	1	[url=dialog:test, 102]												
106	MainTask1_106	[主]前方会合	方才听见了卓非凡的声音，看来他应该就在附近！	[FFFE0D]去看看[-]是否卓非凡和紫轩	[FFFE0D]去看看[-]是否卓非凡和紫轩	[url=taskitem:test, $T]	[url=taskitem:test, $T]	59|60		105	107				1	1	105			Exp|16000			1	1	[url=dialog:test, 103]												
107	MainTask1_107	[主]准备就绪	杨兄这数年来做了不少惊天动地的大事，悲魔山庄如今已是御下三盟之一，与飞龙堡、藏剑山庄齐名，如今他看起来意气风发，正是少年得意，但愿千万别误入歧途。问问他准备好没有！	问问[FFFE0D]杨影枫[-]准备好了没有	问问[FFFE0D]杨影枫[-]准备好了没有	[url=clientnpcbyidx:test, 57]	[url=clientnpcbyidx:test, 57]	57|59|60	57|59|60	106	108	104								Exp|16000			1	1													
108	MainTask1_108	[主]剑气凌云	藏剑山庄剑气峰……我曾经与卓非凡在此饮酒切磋，畅谈武林大事，想必杨兄与他惺惺相惜，也是在此处，却不料，他竟在此处将杨兄打落山崖。天理循环，报应不爽。	登上[FFFE0D]剑气峰[-]击败卓非凡	登上[FFFE0D]剑气峰[-]击败卓非凡	[url=goanddosomething:test, 402, 3000, 2800, gotofuben, 2, 6, 1]		58	58	107	109			2|6|1	1			1		Exp|80000			1	1													
109	MainTask1_109	[主]名扬天下	卓非凡如今身败名裂，再难有所作为，藏剑山庄也已经七零八落，唉，可惜孟大侠穷尽半生精力的藏剑山庄，恐怕此后将一落千丈、一蹶不振。不管如何，先恭喜杨兄吧。	恭喜[FFFE0D]杨影枫[-]名扬天下	恭喜[FFFE0D]杨影枫[-]名扬天下	[url=clientnpcbyidx:test, 57]	[url=clientnpcbyidx:test, 57]	57	57	108	110	106						1	1	Exp|20000;Item|1112|1;ComposeValue|1|6			1	1													
110	MainTask1_110	[主]意欲何为	哼，自下了藏剑山庄以来，就有人在跟踪我们，不过来人似乎并没有恶意，究竟是哪一方的势力？现在就去看看她到底意欲何为！	质问[FFFE0D]紫轩[-]为何一路跟踪	质问[FFFE0D]紫轩[-]为何一路跟踪	[url=taskitem:test, $T]	[url=taskitem:test, $T]	310	310	109	111				1	1	109			Exp|20000			1	1	[url=dialog:test, 107]												
111	MainTask1_111	[主]藕断丝连	原来是紫轩姑娘……她一路相随，只是为了将这封信件交给杨兄，唉，她虽有过错，毕竟也是个可怜人，我就帮她一把，至于结果如何，就让杨兄自己做决定吧。	前往[FFFE0D]洞庭湖[-]寻找[FFFE0D]杨影枫[-]	前往[FFFE0D]洞庭湖[-]寻找[FFFE0D]杨影枫[-]	[url=clientnpcbyidx:test, 73]	[url=clientnpcbyidx:test, 73]	73|184	73|184	110	112	108								Exp|12000			1	1													
112	MainTask1_112	[主]两人会面	先去洞庭湖找到紫轩姑娘吧，唉，说来其实紫轩姑娘也挺凄惨的，毕竟她也是受人所迫，不知道杨兄会不会原谅她。	去见见[FFFE0D]紫轩[-]姑娘吧	去见见[FFFE0D]紫轩[-]姑娘吧	[url=clientnpcbyidx:test, 61]	[url=clientnpcbyidx:test, 61]	54|61|70	54|61|70	111	113	111						1	1	Exp|12000;Item|1613|1			1	1	[url=dialog:test, 6011]												
113	MainTask1_113	[主]分道扬镳	杨兄都离开了，我也离开这儿吧，看来他们两人之间此后也不会再有什么交集了……	事情已了，先离开吧	事情已了，先离开吧	[url=taskitem:test, $T]	[url=taskitem:test, $T]	62|229	62|229	112	114				1	1	113			Exp|18000			1														
114	MainTask1_114	[主]暗中窥探	不行！方才紫轩姑娘整个失魂落魄的样子，若是无人看着，恐怕会出什么事！我得回去看看！	还是得[FFFE0D]回去[-]看看紫轩姑娘	还是得[FFFE0D]回去[-]看看紫轩姑娘	[url=taskitem:test, $T]	[url=taskitem:test, $T]	21	21	113	115				1	1	114			Exp|18000			1	1	[url=dialog:test, 113]												
115	MainTask1_115	[主]神秘女子	咦？有人！看身形是位姑娘，不知道是谁，想不到紫轩姑娘还认识武功这么高明的姑娘！这样一来我也安心了！	看看[FFFE0D]来的人[-]意欲何为	看看[FFFE0D]来的人[-]意欲何为	[url=taskitem:test, $T]	[url=taskitem:test, $T]	22	22	114	116				1	1	115			Exp|18000			1	1	[url=dialog:test, 114]												
116	MainTask1_116	[主]再度会合	方才那位姑娘好像有点眼熟，不过离的太远看的并不是很清楚，罢了，先回去找杨兄吧！	该回去找[FFFE0D]杨影枫[-]了	该回去找[FFFE0D]杨影枫[-]了	[url=clientnpcbyidx:test, 73]	[url=clientnpcbyidx:test, 73]	73|83	73|83	115	117	115								Exp|18000			1	1													
117	MainTask1_117	[主]武林盟主	武林盟主孟知秋，不知道会是什么样的人！想必武功十分高强，若是有机会讨教一番就好了！	前往落叶谷寻找[FFFE0D]孟知秋[-]	前往落叶谷寻找[FFFE0D]孟知秋[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	70|156		116	118				1	1	117			Exp|18000			1	1	[url=dialog:test, 116]												
118	MainTask1_118	[主]拆除兽夹	真是可恶！到底是谁在这里放下捕兽夹，若是有人在树下乘凉，岂非很容易受伤？看我来将它拆掉！	拆除用[FFFE0D]帽子盖住[-]的捕兽夹	拆除用[FFFE0D]帽子盖住[-]的捕兽夹	[url=taskitem:test, $T]	[url=taskitem:test, $T]	70|156	156	117	119				1	1	118			Exp|18000			1	1	[url=dialog:test, 117]												
119	MainTask1_119	[主]神秘少女	这位大小姐还真是蛮不讲理……分明是自己所做之事不对，竟然还敢动手！说不得要教训教训她了！	和[FFFE0D]杨影枫[-]应付这位大小姐	和[FFFE0D]杨影枫[-]应付这位大小姐	[url=goanddosomething:test, 403, 8200, 5180, gotofuben, 3, 1, 1]		70|81|82		118	120			3|1|1	1			1		Exp|90000			1	1													
120	MainTask1_120	[主]一问究竟	咳咳，方才下手好像稍重了一些，不知道有没有伤着她，她毕竟是个姑娘……但愿没什么大碍才好……	看看[FFFE0D]这位姑娘[-]有没有受伤	看看[FFFE0D]这位姑娘[-]有没有受伤	[url=clientnpcbyidx:test, 311]	[url=clientnpcbyidx:test, 311]	70|311	311	119	121	119						1	1	Exp|18000;Item|1365|1			1	1													
121	MainTask1_121	[主]归家之路	这姑娘非凡蛮不讲理，而且还牙尖嘴利！不过既然不愿，就顺带送她回家好了，唉，只愿落叶谷莫要太早闭谷。	带[FFFE0D]神秘少女[-]回家	带[FFFE0D]神秘少女[-]回家	[url=taskitem:test, $T]	[url=taskitem:test, $T]	70|312		120	122				1	1	121			Exp|24000			1	1	[url=dialog:test, 120]												
122	MainTask1_122	[主]四处寻家	这姑娘真是让人头疼，连自己回家的路都能弄错，也不知道她的家人是如何放心让她一个人跑出来的！	带[FFFE0D]神秘少女[-]找回家的路	带[FFFE0D]神秘少女[-]找回家的路	[url=taskitem:test, $T]	[url=taskitem:test, $T]	70|88|312	78|312	121	123				1	1	122			Exp|18000			1	1	[url=dialog:test, 121]												
123	MainTask1_123	[主]登门拜访	真是太可恨了！这个姑娘分明就是在浪费我们的时间！想必是有恃无恐，既然这样，就别管她了，赶紧去见见孟知秋才是正事。	前去拜见[FFFE0D]孟知秋[-]	前去拜见[FFFE0D]孟知秋[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	70|88		122	124				1	1	123			Exp|24000			1	1	[url=dialog:test, 122]												
124	MainTask1_124	[主]阴差阳错	呃，这可真是无巧不成书……那姑娘竟然是孟知秋的千金……难怪这么霸道，若是她失踪了那可不是闹着玩的，得赶紧把她找回来！	回去寻找[FFFE0D]蔷薇[-]	回去寻找[FFFE0D]蔷薇[-]	[url=clientnpcbyidx:test, 77]	[url=clientnpcbyidx:test, 77]	70|77|88	70|77|88	123	125	123								Exp|18000			1	1													
125	MainTask1_125	[主]静候片刻	这池水虽然清澈见底，但远远的就能感觉到一股沁人的寒气，杨兄虽然有内功护体，恐怕也无法长时间待在里面，希望他能尽快找到蔷薇姑娘的发钗吧！	[FFFE0D]在一旁[-]等候杨影枫回来	[FFFE0D]在一旁[-]等候杨影枫回来	[url=taskitem:test, $T]	[url=taskitem:test, $T]	77|230	77|230	124	126				1	1	125			Exp|30000			1	1	[url=dialog:test, 124]												
126	MainTask1_126	[主]再度登门	这位任性的大小姐总算是答应跟我们回去了，看来她似乎对杨兄有了好感，杨兄还真是四处招蜂惹蝶啊……	带[FFFE0D]蔷薇[-]回去见孟知秋	带[FFFE0D]蔷薇[-]回去见孟知秋	[url=clientnpcbyidx:test, 103]	[url=clientnpcbyidx:test, 103]	70|78|103	70|78|103	125	127	125								Exp|24000			1	1													
127	MainTask1_127	[主]了结恩怨	看来这一战还是在所难免，两家人十多年以来的恩怨，但愿不要和十多年前的结局一样才好……	观看[FFFE0D]杨影枫与孟知秋[-]比武	观看[FFFE0D]杨影枫与孟知秋[-]比武	[url=gotofuben:test, 3, 2, 1]		104	104	126	128			3|2|1	1			1		Exp|90000			1														
128	MainTask1_128	[主]突然消失	孟大侠曾经身为武林盟主，武功之高，果然名不虚传，杨兄竟然这么轻易就被击败了！看来我也还需要更努力练习武功！	向[FFFE0D]孟知秋[-]告辞	向[FFFE0D]孟知秋[-]告辞	[url=clientnpcbyidx:test, 103]	[url=clientnpcbyidx:test, 103]	70|89|103	103	127	129	127						1	1	Exp|18000;Item|1073|1			1	1													
129	MainTask1_129	[主]先行离开	终于要回悲魔山庄了，不知道杨兄这数月来创立的势力究竟会是什么样的呢！	[FFFE0D]回悲魔山庄[-]见见纳兰真	[FFFE0D]回悲魔山庄[-]见见纳兰真	[url=taskitem:test, $T]	[url=taskitem:test, $T]	70|89|104	104	128	130				1	1	127			Exp|24000			1	1	[url=dialog:test, 126]												
130	MainTask1_130	[主]四处寻找	唉，毫无头绪，也不知道该从哪里找起，到底是谁掠走了纳兰姑娘呢？目的是什么呢？莫非是紫轩姑娘？	到[FFFE0D]附近[-]去寻找线索	到[FFFE0D]附近[-]去寻找线索	[url=taskitem:test, $T]	[url=taskitem:test, $T]	70|89|90	89	129	131				1	1	129			Exp|24000			1	1	[url=dialog:test, 128]												
131	MainTask1_131	[主]登门拜访	没想到掠走纳兰姑娘的竟然是飞龙堡的人……看来月眉儿姑娘想用纳兰姑娘当人质，逼迫杨兄就范，若真是如此，不知道杨兄会如何抉择……	[FFFE0D]前往飞龙堡[-]	[FFFE0D]前往飞龙堡[-]质问月眉儿	[url=pos:test,403,7410,14820]	[url=pos:test,403,7410,14820]	70|90	90	130	132				1					Exp|12000			1	1	[url=dialog:test, 129]				494								
132	MainTask1_132	[主]先发制人	飞龙堡果然守卫森严，这些飞龙堡弟子均训练有素，恐怕对付起来不太容易！	[FFFE0D]闯入飞龙堡[-]质问月眉儿	[FFFE0D]闯入飞龙堡[-]质问月眉儿	[url=taskitem:test, $T]	[url=taskitem:test, $T]	70|91	91	131	133				1	1	130			Exp|12000			1	1													
133	MainTask1_133	[主]一展身手	哼！不过就凭这些人，还拦不住我！让我看看名动天下的飞龙堡，到底有多少斤两！	击退[FFFE0D]飞龙堡弟子[-]	击退[FFFE0D]飞龙堡弟子[-]	[url=npcanddosomething:test, 1245, 494, autofight, 1]		70		132	134				1					Exp|60000	1245|6	1	1	1													
134	MainTask1_134	[主]一无所获	飞龙堡果然名不虚传，堡中弟子的武功根基扎实，接下来就让我们看看，这名动天下的飞龙堡的大总管到底有什么本事吧！	前去找[FFFE0D]卢肇颢[-]理论	前去找[FFFE0D]卢肇颢[-]理论	[url=taskitem:test, $T]	[url=taskitem:test, $T]	70|120		133	135				1	1	132			Exp|24000			1	1	[url=dialog:test, 131]												
135	MainTask1_135	[主]另寻线索	这位飞龙堡的管家看来没有说谎，难道真的不是飞龙堡的人抓走的？难道是紫轩姑娘骗我们的？	准备离开[FFFE0D]飞龙堡[-]	准备离开[FFFE0D]飞龙堡[-]	[url=pos:test,494,6580,9180]	[url=pos:test,494,6580,9180]	70|92|120	92	134	136				1					Exp|18000			1	1					403								
136	MainTask1_136	[主]了结恩怨	看来这一战还是在所难免，两家人十多年以来的恩怨，但愿不要和十多年前的结局一样才好……	先启程返回[FFFE0D]悲魔山庄[-]	先启程返回[FFFE0D]悲魔山庄[-]	[url=goanddosomething:test, 403, 15500, 11140, gotofuben, 3, 3, 1]		70|94|120	94|120	135	137			3|3|1	1			1		Exp|90000			1	1													
137	MainTask1_137	[主]再遇蔷薇	飞龙堡的人竟然抓走了蔷薇姑娘，这又是闹的哪出？月姑娘若不是女儿之身，我都以为这是要选堡主夫人了……	询问[FFFE0D]蔷薇[-]到底是怎么回事	询问[FFFE0D]蔷薇[-]到底是怎么回事	[url=clientnpcbyidx:test, 231]	[url=clientnpcbyidx:test, 231]	70|231	231	136	138	6135								Exp|30000			1	1													
138	MainTask1_138	[主]疑窦丛生	此事颇为古怪，就算月眉儿和杨兄有仇，也不至于得罪孟知秋，其中一定有什么原因，先带蔷薇姑娘回去找孟知秋吧！	带蔷薇回去找[FFFE0D]孟知秋[-]	带蔷薇回去找[FFFE0D]孟知秋[-]	[url=clientnpcbyidx:test, 103]	[url=clientnpcbyidx:test, 103]	70|103|232	103|232	137	139	6137						1	1	Exp|30000;Item|212|5;ComposeValue|1|7			1	1													
