Idx	AttribType	Level	FightPower	AttribValue	ValueMin1	ValueMin2	ValueMin3	ValueRange1	ValueRange2	ValueRange3
125	state_hurt_resisttime	7			450			450		
125	state_hurt_resisttime	8			675			675		
125	state_hurt_resisttime	9			1012			1012		
125	state_hurt_resisttime	10			1518			1518		
125	state_hurt_resisttime	11			2278			2278		
125	state_hurt_resisttime	12			3417			3417		
125	state_hurt_resisttime	13			5125			5125		
125	state_hurt_resisttime	14			7688			7688		
125	state_hurt_resisttime	15			11533			11533		
126	state_zhican_resisttime	1			39			39		
126	state_zhican_resisttime	2			59			59		
126	state_zhican_resisttime	3			88			88		
126	state_zhican_resisttime	4			133			133		
126	state_zhican_resisttime	5			200			200		
126	state_zhican_resisttime	6			300			300		
126	state_zhican_resisttime	7			450			450		
126	state_zhican_resisttime	8			675			675		
126	state_zhican_resisttime	9			1012			1012		
126	state_zhican_resisttime	10			1518			1518		
126	state_zhican_resisttime	11			2278			2278		
126	state_zhican_resisttime	12			3417			3417		
126	state_zhican_resisttime	13			5125			5125		
126	state_zhican_resisttime	14			7688			7688		
126	state_zhican_resisttime	15			11533			11533		
127	state_slowall_resisttime	1			39			39		
127	state_slowall_resisttime	2			59			59		
127	state_slowall_resisttime	3			88			88		
127	state_slowall_resisttime	4			133			133		
127	state_slowall_resisttime	5			200			200		
127	state_slowall_resisttime	6			300			300		
127	state_slowall_resisttime	7			450			450		
127	state_slowall_resisttime	8			675			675		
127	state_slowall_resisttime	9			1012			1012		
127	state_slowall_resisttime	10			1518			1518		
127	state_slowall_resisttime	11			2278			2278		
127	state_slowall_resisttime	12			3417			3417		
127	state_slowall_resisttime	13			5125			5125		
127	state_slowall_resisttime	14			7688			7688		
127	state_slowall_resisttime	15			11533			11533		
128	state_palsy_resisttime	1			39			39		
128	state_palsy_resisttime	2			59			59		
128	state_palsy_resisttime	3			88			88		
128	state_palsy_resisttime	4			133			133		
128	state_palsy_resisttime	5			200			200		
128	state_palsy_resisttime	6			300			300		
128	state_palsy_resisttime	7			450			450		
128	state_palsy_resisttime	8			675			675		
128	state_palsy_resisttime	9			1012			1012		
128	state_palsy_resisttime	10			1518			1518		
128	state_palsy_resisttime	11			2278			2278		
128	state_palsy_resisttime	12			3417			3417		
128	state_palsy_resisttime	13			5125			5125		
128	state_palsy_resisttime	14			7688			7688		
128	state_palsy_resisttime	15			11533			11533		
129	state_stun_resisttime	1			39			39		
129	state_stun_resisttime	2			59			59		
129	state_stun_resisttime	3			88			88		
129	state_stun_resisttime	4			133			133		
129	state_stun_resisttime	5			200			200		
129	state_stun_resisttime	6			300			300		
129	state_stun_resisttime	7			450			450		
129	state_stun_resisttime	8			675			675		
129	state_stun_resisttime	9			1012			1012		
129	state_stun_resisttime	10			1518			1518		
129	state_stun_resisttime	11			2278			2278		
129	state_stun_resisttime	12			3417			3417		
129	state_stun_resisttime	13			5125			5125		
129	state_stun_resisttime	14			7688			7688		
129	state_stun_resisttime	15			11533			11533		
